review_id	record_type	source_database	source_record_id	raw_trait_name	raw_gene_id	raw_gene_symbol	candidate_mappings	ambiguity_reason	recommended_action	priority	notes
MR_00000020	gene_id_mapping	RAP-DB	MAP_00000121	NA	Os01g0113650	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000021	gene_id_mapping	RAP-DB	MAP_00000124	NA	Os01g0113833	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000022	gene_id_mapping	RAP-DB	MAP_00000127	NA	Os01g0114050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000023	gene_id_mapping	RAP-DB	MAP_00000129	NA	Os01g0114200	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000024	gene_id_mapping	RAP-DB	MAP_00000135	NA	Os01g0114550	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000025	gene_id_mapping	RAP-DB	MAP_00000142	NA	Os01g0115300	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000026	gene_id_mapping	RAP-DB	MAP_00000148	NA	Os01g0115751	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000027	gene_id_mapping	RAP-DB	MAP_00000152	NA	Os01g0116100	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000028	gene_id_mapping	RAP-DB	MAP_00000158	NA	Os01g0116900	NA	LOC_Os01g02710;LOC_Os01g02750	ambiguous multi-target mapping	manual_review_before_evaluation_use	P1	ambiguous or unmapped gene ID mapping
MR_00000029	gene_id_mapping	RAP-DB	MAP_00000160	NA	Os01g0117050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000030	gene_id_mapping	RAP-DB	MAP_00000172	NA	Os01g0118033	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000031	gene_id_mapping	RAP-DB	MAP_00000173	NA	Os01g0118066	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000032	gene_id_mapping	RAP-DB	MAP_00000176	NA	Os01g0118350	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000033	gene_id_mapping	RAP-DB	MAP_00000183	NA	Os01g0119301	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000034	gene_id_mapping	RAP-DB	MAP_00000186	NA	Os01g0119800	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000035	gene_id_mapping	RAP-DB	MAP_00000202	NA	Os01g0121925	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000036	gene_id_mapping	RAP-DB	MAP_00000206	NA	Os01g0122367	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000037	gene_id_mapping	RAP-DB	MAP_00000207	NA	Os01g0122534	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000038	gene_id_mapping	RAP-DB	MAP_00000222	NA	Os01g0124700	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000039	gene_id_mapping	RAP-DB	MAP_00000223	NA	Os01g0124900	NA	LOC_Os01g03400;LOC_Os01g03410	ambiguous multi-target mapping	manual_review_before_evaluation_use	P1	ambiguous or unmapped gene ID mapping
MR_00000040	gene_id_mapping	RAP-DB	MAP_00000232	NA	Os01g0126000	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000041	gene_id_mapping	RAP-DB	MAP_00000235	NA	Os01g0126401	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000042	gene_id_mapping	RAP-DB	MAP_00000239	NA	Os01g0127100	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000043	gene_id_mapping	RAP-DB	MAP_00000247	NA	Os01g0127800	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000044	gene_id_mapping	RAP-DB	MAP_00000252	NA	Os01g0128250	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000045	gene_id_mapping	RAP-DB	MAP_00000259	NA	Os01g0129550	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000046	gene_id_mapping	RAP-DB	MAP_00000263	NA	Os01g0130100	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000047	gene_id_mapping	RAP-DB	MAP_00000266	NA	Os01g0130500	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000048	gene_id_mapping	RAP-DB	MAP_00000267	NA	Os01g0130633	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000049	gene_id_mapping	RAP-DB	MAP_00000268	NA	Os01g0130766	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000050	gene_id_mapping	RAP-DB	MAP_00000271	NA	Os01g0131132	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000051	gene_id_mapping	RAP-DB	MAP_00000275	NA	Os01g0131450	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000052	gene_id_mapping	RAP-DB	MAP_00000280	NA	Os01g0132050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000053	gene_id_mapping	RAP-DB	MAP_00000282	NA	Os01g0132150	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000054	gene_id_mapping	RAP-DB	MAP_00000289	NA	Os01g0132950	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000055	gene_id_mapping	RAP-DB	MAP_00000296	NA	Os01g0133766	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000056	gene_id_mapping	RAP-DB	MAP_00000303	NA	Os01g0135000	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000057	gene_id_mapping	RAP-DB	MAP_00000309	NA	Os01g0136050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000058	gene_id_mapping	RAP-DB	MAP_00000314	NA	Os01g0136450	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000059	gene_id_mapping	RAP-DB	MAP_00000315	NA	Os01g0136500	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000060	gene_id_mapping	RAP-DB	MAP_00000317	NA	Os01g0136502	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000061	gene_id_mapping	RAP-DB	MAP_00000318	NA	Os01g0136600	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000062	gene_id_mapping	RAP-DB	MAP_00000322	NA	Os01g0137066	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000063	gene_id_mapping	RAP-DB	MAP_00000323	NA	Os01g0137150	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000064	gene_id_mapping	RAP-DB	MAP_00000326	NA	Os01g0137266	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000065	gene_id_mapping	RAP-DB	MAP_00000329	NA	Os01g0137400	NA	LOC_Os01g04470;LOC_Os01g04490	ambiguous multi-target mapping	manual_review_before_evaluation_use	P1	ambiguous or unmapped gene ID mapping
MR_00000066	gene_id_mapping	RAP-DB	MAP_00000330	NA	Os01g0137401	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000067	gene_id_mapping	RAP-DB	MAP_00000332	NA	Os01g0137550	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000068	gene_id_mapping	RAP-DB	MAP_00000335	NA	Os01g0137750	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000069	gene_id_mapping	RAP-DB	MAP_00000336	NA	Os01g0137800	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000070	gene_id_mapping	RAP-DB	MAP_00000338	NA	Os01g0138000	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000071	gene_id_mapping	RAP-DB	MAP_00000339	NA	Os01g0138050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000072	gene_id_mapping	RAP-DB	MAP_00000340	NA	Os01g0138100	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000073	gene_id_mapping	RAP-DB	MAP_00000341	NA	Os01g0138166	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000074	gene_id_mapping	RAP-DB	MAP_00000342	NA	Os01g0138232	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000075	gene_id_mapping	RAP-DB	MAP_00000345	NA	Os01g0138451	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000076	gene_id_mapping	RAP-DB	MAP_00000351	NA	Os01g0139100	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000077	gene_id_mapping	RAP-DB	MAP_00000356	NA	Os01g0140001	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000078	gene_id_mapping	RAP-DB	MAP_00000360	NA	Os01g0140601	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000079	gene_id_mapping	RAP-DB	MAP_00000364	NA	Os01g0141150	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000080	gene_id_mapping	RAP-DB	MAP_00000367	NA	Os01g0141450	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000081	gene_id_mapping	RAP-DB	MAP_00000374	NA	Os01g0142400	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000082	gene_id_mapping	RAP-DB	MAP_00000378	NA	Os01g0142950	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000083	gene_id_mapping	RAP-DB	MAP_00000382	NA	Os01g0143350	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000084	gene_id_mapping	RAP-DB	MAP_00000384	NA	Os01g0143501	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000085	gene_id_mapping	RAP-DB	MAP_00000388	NA	Os01g0143750	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000086	gene_id_mapping	RAP-DB	MAP_00000395	NA	Os01g0144340	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000087	gene_id_mapping	RAP-DB	MAP_00000401	NA	Os01g0144900	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000088	gene_id_mapping	RAP-DB	MAP_00000403	NA	Os01g0145101	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000089	gene_id_mapping	RAP-DB	MAP_00000407	NA	Os01g0145600	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000090	gene_id_mapping	RAP-DB	MAP_00000408	NA	Os01g0145700	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000091	gene_id_mapping	RAP-DB	MAP_00000414	NA	Os01g0146351	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000092	gene_id_mapping	RAP-DB	MAP_00000416	NA	Os01g0146600	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000093	gene_id_mapping	RAP-DB	MAP_00000422	NA	Os01g0147166	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000094	gene_id_mapping	RAP-DB	MAP_00000424	NA	Os01g0147250	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000095	gene_id_mapping	RAP-DB	MAP_00000427	NA	Os01g0147600	NA	LOC_Os01g05450;LOC_Os01g05460	ambiguous multi-target mapping	manual_review_before_evaluation_use	P1	ambiguous or unmapped gene ID mapping
MR_00000096	gene_id_mapping	RAP-DB	MAP_00000428	NA	Os01g0147650	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000097	gene_id_mapping	RAP-DB	MAP_00000431	NA	Os01g0147850	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000098	gene_id_mapping	RAP-DB	MAP_00000433	NA	Os01g0147950	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000099	gene_id_mapping	RAP-DB	MAP_00000435	NA	Os01g0148075	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000100	gene_id_mapping	RAP-DB	MAP_00000438	NA	Os01g0148300	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000101	gene_id_mapping	RAP-DB	MAP_00000441	NA	Os01g0148600	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000102	gene_id_mapping	RAP-DB	MAP_00000455	NA	Os01g0150301	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000103	gene_id_mapping	RAP-DB	MAP_00000459	NA	Os01g0150750	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000104	gene_id_mapping	RAP-DB	MAP_00000461	NA	Os01g0150900	NA	LOC_Os01g05760;LOC_Os01g05780	ambiguous multi-target mapping	manual_review_before_evaluation_use	P1	ambiguous or unmapped gene ID mapping
MR_00000105	gene_id_mapping	RAP-DB	MAP_00000463	NA	Os01g0151001	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000106	gene_id_mapping	RAP-DB	MAP_00000470	NA	Os01g0151750	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000107	gene_id_mapping	RAP-DB	MAP_00000477	NA	Os01g0152500	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000108	gene_id_mapping	RAP-DB	MAP_00000479	NA	Os01g0152675	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000109	gene_id_mapping	RAP-DB	MAP_00000481	NA	Os01g0152700	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000110	gene_id_mapping	RAP-DB	MAP_00000484	NA	Os01g0152950	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000111	gene_id_mapping	RAP-DB	MAP_00000485	NA	Os01g0152951	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000112	gene_id_mapping	RAP-DB	MAP_00000488	NA	Os01g0153150	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000113	gene_id_mapping	RAP-DB	MAP_00000493	NA	Os01g0153550	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000114	gene_id_mapping	RAP-DB	MAP_00000494	NA	Os01g0153625	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000115	gene_id_mapping	RAP-DB	MAP_00000495	NA	Os01g0153651	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000116	gene_id_mapping	RAP-DB	MAP_00000502	NA	Os01g0154250	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000117	gene_id_mapping	RAP-DB	MAP_00000505	NA	Os01g0154550	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000118	gene_id_mapping	RAP-DB	MAP_00000507	NA	Os01g0154950	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000119	gene_id_mapping	RAP-DB	MAP_00000533	NA	Os01g0158100	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000120	gene_id_mapping	RAP-DB	MAP_00000537	NA	Os01g0158566	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000121	gene_id_mapping	RAP-DB	MAP_00000544	NA	Os01g0159250	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000122	gene_id_mapping	RAP-DB	MAP_00000554	NA	Os01g0160750	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000123	gene_id_mapping	RAP-DB	MAP_00000556	NA	Os01g0160850	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000124	gene_id_mapping	RAP-DB	MAP_00000559	NA	Os01g0161200	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000125	gene_id_mapping	RAP-DB	MAP_00000561	NA	Os01g0162001	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000126	gene_id_mapping	RAP-DB	MAP_00000562	NA	Os01g0162101	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000127	gene_id_mapping	RAP-DB	MAP_00000567	NA	Os01g0162600	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000128	gene_id_mapping	RAP-DB	MAP_00000568	NA	Os01g0162701	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000129	gene_id_mapping	RAP-DB	MAP_00000570	NA	Os01g0162900	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000130	gene_id_mapping	RAP-DB	MAP_00000574	NA	Os01g0163450	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000131	gene_id_mapping	RAP-DB	MAP_00000577	NA	Os01g0163616	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000132	gene_id_mapping	RAP-DB	MAP_00000578	NA	Os01g0163701	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000133	gene_id_mapping	RAP-DB	MAP_00000589	NA	Os01g0164650	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000134	gene_id_mapping	RAP-DB	MAP_00000600	NA	Os01g0166200	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000135	gene_id_mapping	RAP-DB	MAP_00000607	NA	Os01g0167100	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000136	gene_id_mapping	RAP-DB	MAP_00000619	NA	Os01g0168350	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000137	gene_id_mapping	RAP-DB	MAP_00000624	NA	Os01g0168850	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000138	gene_id_mapping	RAP-DB	MAP_00000626	NA	Os01g0169000	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000139	gene_id_mapping	RAP-DB	MAP_00000630	NA	Os01g0169600	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000140	gene_id_mapping	RAP-DB	MAP_00000631	NA	Os01g0169700	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000141	gene_id_mapping	RAP-DB	MAP_00000640	NA	Os01g0170750	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000142	gene_id_mapping	RAP-DB	MAP_00000647	NA	Os01g0171466	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000143	gene_id_mapping	RAP-DB	MAP_00000657	NA	Os01g0172500	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000144	gene_id_mapping	RAP-DB	MAP_00000659	NA	Os01g0172701	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000145	gene_id_mapping	RAP-DB	MAP_00000664	NA	Os01g0173200	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000146	gene_id_mapping	RAP-DB	MAP_00000667	NA	Os01g0173701	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000147	gene_id_mapping	RAP-DB	MAP_00000668	NA	Os01g0173801	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000148	gene_id_mapping	RAP-DB	MAP_00000674	NA	Os01g0174400	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000149	gene_id_mapping	RAP-DB	MAP_00000684	NA	Os01g0175666	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000150	gene_id_mapping	RAP-DB	MAP_00000686	NA	Os01g0175766	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000151	gene_id_mapping	RAP-DB	MAP_00000688	NA	Os01g0175850	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
MR_00000152	gene_id_mapping	RAP-DB	MAP_00000690	NA	Os01g0176050	NA	NA	manual review required before use	manual_review_before_evaluation_use	P2	ambiguous or unmapped gene ID mapping
