evidence_id	trait_id_or_name	gene_id	gene_symbol	evidence_source	source_database	source_record_id	evidence_type	support_level	species	chrom	start	end	reference_build	coordinate_mapping_status	allowed_usage	evidence_split_candidate	notes
KGE_00000017	TO:0000160 - UV light sensitivity;TO:0000496 - carotenoid content;TO:0000495 - chlorophyll content;TO:0000075 - light sensitivity	Os01g0106900	DXR, OsDXR, OsIspC, IspC	RAP-DB JSON	RAP-DB_curated_genes	Os01g0106900	known_trait_gene	high_confidence	Oryza sativa	1	374728	380713	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000018	TO:0000605 - hydrogen peroxide content;TO:0000074 - blast disease;TO:0000172 - jasmonic acid sensitivity	Os01g0108600	HLH46, OsHLH46, OsbHLH	RAP-DB JSON	RAP-DB_curated_genes	Os01g0108600	known_trait_gene	high_confidence	Oryza sativa	1	478488	481165	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000019	TO:0000326 - leaf color;TO:0002715 - chloroplast development trait;TO:0000293 - chlorophyll-a content;TO:0000295 - chlorophyll-b content;TO:0000396 - grain yield	Os01g0109300	WFSL1, ST3, OsSAMHD1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0109300	known_trait_gene	high_confidence	Oryza sativa	1	498454	506264	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000020	unspecified_trait	Os01g0110050	PHO1;1 CIS-NAT, OsPHO1;1 cis-NAT	RAP-DB JSON	RAP-DB_curated_genes	Os01g0110050	known_trait_gene	high_confidence	Oryza sativa	1	536973	538644	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000021	TO:0000102 - phosphorus sensitivity	Os01g0110100	PHO1;1, OsPHO1;1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0110100	known_trait_gene	high_confidence	Oryza sativa	1	537710	543354	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000022	unspecified_trait	Os01g0110700	PPPCB, Osppc-b, ppc-b, OsSTA1, STA1, BTPC, OsBTPC	RAP-DB JSON	RAP-DB_curated_genes	Os01g0110700	known_trait_gene	high_confidence	Oryza sativa	1	562088	572092	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000023	unspecified_trait	Os01g0111000	PMEI1, OsPMEI1, PMEI-1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0111000	known_trait_gene	high_confidence	Oryza sativa	1	585963	586445	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000024	TO:0000261 - insect damage resistance	Os01g0111200	OsLSm14b	RAP-DB JSON	RAP-DB_curated_genes	Os01g0111200	known_trait_gene	high_confidence	Oryza sativa	1	588917	593714	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000025	TO:0002665 - root hair length	Os01g0111500	OsbHLH125, bHLH125, OsRSL1, RSL1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0111500	known_trait_gene	high_confidence	Oryza sativa	1	603643	605643	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000026	TO:0000615 - abscisic acid sensitivity;TO:0002667 - abscisic acid content;TO:0000430 - germination rate;TO:0000253 - seed dormancy;TO:0006001 - salt tolerance;TO:0000619 - vivipary;TO:0000075 - light sensitivity;TO:0000653 - seed development trait	Os01g0111600	MFT2, OsMFT2, OsMFT	RAP-DB JSON	RAP-DB_curated_genes	Os01g0111600	known_trait_gene	high_confidence	Oryza sativa	1	612564	615631	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000027	TO:0000315 - bacterial disease resistance	Os01g0113350	MAK1, OsMAK1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0113350	known_trait_gene	high_confidence	Oryza sativa	1	728968	731172	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000028	TO:0000315 - bacterial disease resistance	Os01g0113350	MAK1, OsMAK1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0113350	known_trait_gene	high_confidence	Oryza sativa	1	728926	731089	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000029	unspecified_trait	Os01g0115700	RLK19, OsRLK19	RAP-DB JSON	RAP-DB_curated_genes	Os01g0115700	known_trait_gene	high_confidence	Oryza sativa	1	851835	854599	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000030	TO:0000063 - mimic response;TO:0000175 - bacterial blight disease resistance	Os01g0115750	8TAK2, RLK20, Os8Tak2, YK21, OsRLCK12, RLCK12, OsRLK20	RAP-DB JSON	RAP-DB_curated_genes	Os01g0115750	known_trait_gene	high_confidence	Oryza sativa	1	857790	860739	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000031	TO:0000175 - bacterial blight disease resistance;TO:0000063 - mimic response	Os01g0115800	8TAK1, RLK21, Os8Tak1, OsRLK21	RAP-DB JSON	RAP-DB_curated_genes	Os01g0115800	known_trait_gene	high_confidence	Oryza sativa	1	862579	865249	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000032	TO:0000063 - mimic response;TO:0000175 - bacterial blight disease resistance	Os01g0115900	RLK22, OsRLK22	RAP-DB JSON	RAP-DB_curated_genes	Os01g0115900	known_trait_gene	high_confidence	Oryza sativa	1	865792	869367	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000033	TO:0000175 - bacterial blight disease resistance;TO:0006007 - polysaccharide content;TO:0000293 - chlorophyll-a content;TO:0000295 - chlorophyll-b content;TO:0000020 - black streak dwarf virus resistance;TO:0000496 - carotenoid content;TO:0000074 - blast disease;TO:0000605 - hydrogen peroxide content;TO:0000249 - leaf senescence;TO:0000063 - mimic response	Os01g0116600	SPL33, LMM5.1, SPL33/LMM5.1, OsSPL33, OsLMM5.1, OsHBS1, HBS1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0116600	known_trait_gene	high_confidence	Oryza sativa	1	929884	934458	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000034	TO:0000300 - glucose content;TO:0000346 - tiller number;TO:0002641 - acid detergent fiber;TO:0000397 - grain size;TO:0000420 - fertility related trait;TO:0000040 - panicle length;TO:0000207 - plant height;TO:0000145 - internode length	Os01g0118300	SUI1, OsSUI1, OsPSS-1, PSS-1, OsPSS1, PSS1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0118300	known_trait_gene	high_confidence	Oryza sativa	1	1047901	1053166	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=3; external knowledge is not a training label
KGE_00000035	TO:0000731 - lignin content;TO:0000074 - blast disease;TO:0000733 - lignin biosynthesis trait	Os01g0120700	HRC, OsHRC	RAP-DB JSON	RAP-DB_curated_genes	Os01g0120700	known_trait_gene	high_confidence	Oryza sativa	1	1168647	1171130	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000036	TO:0000224 - iron sensitivity;TO:0000021 - copper sensitivity;TO:0000074 - blast disease	Os01g0124200	RBBI3-1, APIP4, OsBBTI4, BBTI4, IBP1.1, RBBTI4, OsAPIP4	RAP-DB JSON	RAP-DB_curated_genes	Os01g0124200	known_trait_gene	high_confidence	Oryza sativa	1	1347665	1348723	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000037	TO:0000605 - hydrogen peroxide content;TO:0000031 - silicon sensitivity;TO:0000403 - leaf-folder resistance;TO:0000261 - insect damage resistance;TO:0000021 - copper sensitivity;TO:0000075 - light sensitivity;TO:0000172 - jasmonic acid sensitivity;TO:0000227 - root length;TO:0000166 - gibberellic acid sensitivity;TO:0000516 - relative root length;TO:0002677 - brassinosteroid sensitivity;TO:0000615 - abscisic acid sensitivity;TO:0000205 - white-backed planthopper resistance;TO:0006001 - salt tolerance;TO:0000207 - plant height;TO:0000224 - iron sensitivity;TO:0001034 - relative plant height	Os01g0124401	RBBI3-3, OsBBPI, BBPI, OsBBTI5, BBTI5, IBP1.2, OsIBP1.2	RAP-DB JSON	RAP-DB_curated_genes	Os01g0124401	known_trait_gene	high_confidence	Oryza sativa	1	1353705	1354767	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000038	unspecified_trait	Os01g0124500	MRLK1, OsMRLK1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0124500	known_trait_gene	high_confidence	Oryza sativa	1	1356413	1361286	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000039	unspecified_trait	Os01g0124600	RBBI2-4, OsRBBI2-4	RAP-DB JSON	RAP-DB_curated_genes	Os01g0124600	known_trait_gene	high_confidence	Oryza sativa	1	1363710	1364282	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000040	unspecified_trait	Os01g0124650	RBBI2-3	RAP-DB JSON	RAP-DB_curated_genes	Os01g0124650	known_trait_gene	high_confidence	Oryza sativa	1	1365586	1366432	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000041	unspecified_trait	Os01g0125800	AIP1, OsAIP1, OsWD40-1, OsWD40, WD40-1, WD40, OsDWD68, DWD68	RAP-DB JSON	RAP-DB_curated_genes	Os01g0125800	known_trait_gene	high_confidence	Oryza sativa	1	1413839	1418982	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000042	unspecified_trait	Os01g0126100	LPR1, OsLPR1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0126100	known_trait_gene	high_confidence	Oryza sativa	1	1433996	1436809	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000043	unspecified_trait	Os01g0126200	LPR2, OsLPR2	RAP-DB JSON	RAP-DB_curated_genes	Os01g0126200	known_trait_gene	high_confidence	Oryza sativa	1	1437163	1445599	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000044	unspecified_trait	Os01g0126600	OsFDML2, FDML2	RAP-DB JSON	RAP-DB_curated_genes	Os01g0126600	known_trait_gene	high_confidence	Oryza sativa	1	1446849	1450473	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000045	unspecified_trait	Os01g0126900	LPR4, OsLPR4	RAP-DB JSON	RAP-DB_curated_genes	Os01g0126900	known_trait_gene	high_confidence	Oryza sativa	1	1486400	1488897	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000046	TO:0000146 - seed length;TO:0000382 - 1000-seed weight;TO:0000465 - mineral and ion content related trait;TO:0000357 - growth and development trait;TO:0000511 - phosphorus uptake;TO:0000455 - seed set percent;TO:0000306 - root thickness;TO:0000102 - phosphorus sensitivity;TO:0000149 - seed width;TO:0002710 - root shape;TO:0000656 - root development trait;TO:0000391 - seed size;TO:0000278 - root to shoot ratio;TO:0000143 - relative biomass;TO:0000516 - relative root length;TO:0001034 - relative plant height;TO:0001006 - adventitious root number	Os01g0127000	LPR3, OsLPR3	RAP-DB JSON	RAP-DB_curated_genes	Os01g0127000	known_trait_gene	high_confidence	Oryza sativa	1	1490494	1492684	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000047	TO:0000507 - osmotic adjustment capacity;TO:0006001 - salt tolerance;TO:0000095 - osmotic response sensitivity;TO:0000325 - soluble protein content;TO:0000371 - yield trait;TO:0002657 - oxidative stress;TO:0001016 - relative chlorophyll content;TO:0000465 - mineral and ion content related trait;TO:0000656 - root development trait;TO:0000608 - sodium content;TO:0000525 - sodium to potassium content ratio;TO:0000357 - growth and development trait;TO:0006002 - proline content	Os01g0127200	LPR5, OsLPR5, OsSTA2, STA2	RAP-DB JSON	RAP-DB_curated_genes	Os01g0127200	known_trait_gene	high_confidence	Oryza sativa	1	1497241	1500606	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000048	TO:0000053 - pollen sterility;TO:0000531 - anther length;TO:0000187 - anther color;TO:0000437 - male sterility;TO:0000455 - seed set percent	Os01g0127500	TKPR2, OsTKPR2	RAP-DB JSON	RAP-DB_curated_genes	Os01g0127500	known_trait_gene	high_confidence	Oryza sativa	1	1513138	1514432	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000049	TO:0006001 - salt tolerance;TO:0000276 - drought tolerance	Os01g0128000	2R_MYB1, MYB1, Os2R_MYB1, MYB2-1, OsMYB2-1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0128000	known_trait_gene	high_confidence	Oryza sativa	1	1549241	1551011	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000050	TO:0002667 - abscisic acid content;TO:0000173 - ethylene sensitivity;TO:0000276 - drought tolerance	Os01g0128300	ABA4, MHZ4, OsMHZ4, MHZ4/OsABA4, OsABA4	RAP-DB JSON	RAP-DB_curated_genes	Os01g0128300	known_trait_gene	high_confidence	Oryza sativa	1	1569644	1570940	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000051	TO:0000223 - pistil anatomy and morphology trait;TO:0002659 - pistil number;TO:0000225 - stamen number;TO:0000455 - seed set percent;TO:0000397 - grain size;TO:0000474 - glume opening;TO:0000215 - stamen anatomy and morphology trait;TO:0006022 - floral organ development trait;TO:0006009 - lodicule anatomy and morphology trait;TO:0000079 - lemma and palea anatomy and morphology trait;TO:0000499 - flower anatomy and morphology trait;TO:0000437 - male sterility	Os01g0129200	SL1, sl1, sl1(t), stl1, opb, OPB, OPB1, ps, PS, DLN2, OsDLN2, OsJAG, JAG, OsJAG.1, OsJAG.2, ZOS1-02, OsZOS1-02	RAP-DB JSON	RAP-DB_curated_genes	Os01g0129200	known_trait_gene	high_confidence	Oryza sativa	1	1625159	1626574	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000052	TO:0000397 - grain size;TO:0000303 - cold tolerance;TO:0000455 - seed set percent;TO:0000396 - grain yield;TO:0002759 - grain number;TO:0000074 - blast disease;TO:0006032 - panicle size;TO:0000276 - drought tolerance;TO:0000172 - jasmonic acid sensitivity;TO:0000357 - growth and development trait	Os01g0131600	ERF108, RD2, OsERF#108, OsAP2, OsERF108, AP2/EREBP#001, AP2/EREBP1, OsCRF1, CRF1, ESR1, OsESR1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0131600	known_trait_gene	high_confidence	Oryza sativa	1	1746418	1748443	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000053	unspecified_trait	Os01g0132100	NA	RAP-DB JSON	RAP-DB_curated_genes	Os01g0132100	known_trait_gene	high_confidence	Oryza sativa	1	1765034	1768669	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000054	TO:0000326 - leaf color;TO:0000495 - chlorophyll content;TO:0000605 - hydrogen peroxide content;TO:0002657 - oxidative stress;TO:0000460 - light intensity sensitivity;TO:0000316 - photosynthetic ability	Os01g0132800	CRS2, OsCRS2	RAP-DB JSON	RAP-DB_curated_genes	Os01g0132800	known_trait_gene	high_confidence	Oryza sativa	1	1813011	1817601	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000055	unspecified_trait	Os01g0133400	PGLCT, OspGlcT1, pGlcT1, OsPGLCT	RAP-DB JSON	RAP-DB_curated_genes	Os01g0133400	known_trait_gene	high_confidence	Oryza sativa	1	1843817	1849094	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000056	unspecified_trait	Os01g0133900	NA	RAP-DB JSON	RAP-DB_curated_genes	Os01g0133900	known_trait_gene	high_confidence	Oryza sativa	1	1867814	1870416	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000057	TO:0000303 - cold tolerance;TO:0000276 - drought tolerance;TO:0000524 - submergence tolerance	Os01g0134700	SARDL-1, OsSARDL-1, OsSARD1, CBP-LIKE	RAP-DB JSON	RAP-DB_curated_genes	Os01g0134700	known_trait_gene	high_confidence	Oryza sativa	1	1902741	1905247	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000058	TO:0000168 - abiotic stress trait	Os01g0135700	CML16, OsCML16	RAP-DB JSON	RAP-DB_curated_genes	Os01g0135700	known_trait_gene	high_confidence	Oryza sativa	1	1931016	1931904	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=2; external knowledge is not a training label
KGE_00000059	TO:0000259 - heat tolerance	Os01g0136000	HSP16.9C, OsHSP16.9C, Oshsp16.9C, OsHsp16.9C, OsHSP16.9C-CI, Oshsp 16.9C	RAP-DB JSON	RAP-DB_curated_genes	Os01g0136000	known_trait_gene	high_confidence	Oryza sativa	1	1944276	1944948	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000060	TO:0000259 - heat tolerance;TO:0000653 - seed development trait;TO:0000188 - drought sensitivity	Os01g0136100	HSP16.9A, OsHsp16.9A, Oshsp16.9A, OsHSP16.9A-CI	RAP-DB JSON	RAP-DB_curated_genes	Os01g0136100	known_trait_gene	high_confidence	Oryza sativa	1	1948773	1949587	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000061	TO:0006001 - salt tolerance;TO:0000276 - drought tolerance;TO:0000259 - heat tolerance;TO:0000303 - cold tolerance	Os01g0139000	RTNLB1, OsRTNLB1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0139000	known_trait_gene	high_confidence	Oryza sativa	1	2080058	2081540	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000062	TO:0000605 - hydrogen peroxide content;TO:0000143 - relative biomass;TO:0001034 - relative plant height;TO:0000167 - cytokinin sensitivity;TO:0000615 - abscisic acid sensitivity;TO:0000259 - heat tolerance;TO:0006001 - salt tolerance;TO:0000456 - spikelet number;TO:0000524 - submergence tolerance;TO:0000276 - drought tolerance;TO:0002657 - oxidative stress	Os01g0140100	AP4, OsAP4	RAP-DB JSON	RAP-DB_curated_genes	Os01g0140100	known_trait_gene	high_confidence	Oryza sativa	1	2120489	2122320	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
KGE_00000063	unspecified_trait	Os01g0140400	MRLP1, PLRRP, OsMRLP1	RAP-DB JSON	RAP-DB_curated_genes	Os01g0140400	known_trait_gene	high_confidence	Oryza sativa	1	2131433	2137293	IRGSP-1.0 / GCF_001433935.1	mapped_high_confidence	development_evidence_candidate	development	references=1; external knowledge is not a training label
