trait_gene_evidence_id	trait_id	trait_name	trait_name_normalized	gene_id	gene_symbol	evidence_id	evidence_source	support_level	trait_mapping_confidence	gene_mapping_confidence	allowed_usage	notes
TGE_00000020	NA	unspecified_trait	unspecified trait	Os01g0110050	PHO1;1 CIS-NAT, OsPHO1;1 cis-NAT	KGE_00000020	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000021	NA	TO:0000102 - phosphorus sensitivity	phosphorus sensitivity	Os01g0110100	PHO1;1, OsPHO1;1	KGE_00000021	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000022	NA	unspecified_trait	unspecified trait	Os01g0110700	PPPCB, Osppc-b, ppc-b, OsSTA1, STA1, BTPC, OsBTPC	KGE_00000022	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000023	NA	unspecified_trait	unspecified trait	Os01g0111000	PMEI1, OsPMEI1, PMEI-1	KGE_00000023	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000024	NA	TO:0000261 - insect damage resistance	insect damage resistance	Os01g0111200	OsLSm14b	KGE_00000024	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000025	NA	TO:0002665 - root hair length	root hair length	Os01g0111500	OsbHLH125, bHLH125, OsRSL1, RSL1	KGE_00000025	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000026	NA	TO:0000615 - abscisic acid sensitivity;TO:0002667 - abscisic acid content;TO:0000430 - germination rate;TO:0000253 - seed dormancy;TO:0006001 - salt tolerance;TO:0000619 - vivipary;TO:0000075 - light sensitivity;TO:0000653 - seed development trait	abscisic acid sensitivity abscisic acid content germination rate seed dormancy salt tolerance vivipary light sensitivity seed development trait	Os01g0111600	MFT2, OsMFT2, OsMFT	KGE_00000026	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000027	NA	TO:0000315 - bacterial disease resistance	bacterial disease resistance	Os01g0113350	MAK1, OsMAK1	KGE_00000027	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000028	NA	TO:0000315 - bacterial disease resistance	bacterial disease resistance	Os01g0113350	MAK1, OsMAK1	KGE_00000028	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000029	NA	unspecified_trait	unspecified trait	Os01g0115700	RLK19, OsRLK19	KGE_00000029	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000030	NA	TO:0000063 - mimic response;TO:0000175 - bacterial blight disease resistance	mimic response bacterial blight disease resistance	Os01g0115750	8TAK2, RLK20, Os8Tak2, YK21, OsRLCK12, RLCK12, OsRLK20	KGE_00000030	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000031	NA	TO:0000175 - bacterial blight disease resistance;TO:0000063 - mimic response	bacterial blight disease resistance mimic response	Os01g0115800	8TAK1, RLK21, Os8Tak1, OsRLK21	KGE_00000031	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000032	NA	TO:0000063 - mimic response;TO:0000175 - bacterial blight disease resistance	mimic response bacterial blight disease resistance	Os01g0115900	RLK22, OsRLK22	KGE_00000032	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000033	data_lt_2007__lsen	LSEN	bacterial blight disease resistance polysaccharide content chlorophyll a content chlorophyll b content black streak dwarf virus resistance carotenoid content blast disease hydrogen peroxide content leaf senescence mimic response	Os01g0116600	SPL33, LMM5.1, SPL33/LMM5.1, OsSPL33, OsLMM5.1, OsHBS1, HBS1	KGE_00000033	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000034	data_lt_2007__cult_code_repro;data_lt_2007__spkf	CULT_CODE_REPRO;SPKF	glucose content tiller number acid detergent fiber grain size fertility related trait panicle length plant height internode length	Os01g0118300	SUI1, OsSUI1, OsPSS-1, PSS-1, OsPSS1, PSS1	KGE_00000034	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000035	NA	TO:0000731 - lignin content;TO:0000074 - blast disease;TO:0000733 - lignin biosynthesis trait	lignin content blast disease lignin biosynthesis trait	Os01g0120700	HRC, OsHRC	KGE_00000035	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000036	NA	TO:0000224 - iron sensitivity;TO:0000021 - copper sensitivity;TO:0000074 - blast disease	iron sensitivity copper sensitivity blast disease	Os01g0124200	RBBI3-1, APIP4, OsBBTI4, BBTI4, IBP1.1, RBBTI4, OsAPIP4	KGE_00000036	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000037	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	hydrogen peroxide content silicon sensitivity leaf folder resistance insect damage resistance copper sensitivity light sensitivity jasmonic acid sensitivity root length gibberellic acid sensitivity relative root length brassinosteroid sensitivity abscisic acid sensitivity white backed planthopper resistance salt tolerance plant height iron sensitivity relative plant height	Os01g0124401	RBBI3-3, OsBBPI, BBPI, OsBBTI5, BBTI5, IBP1.2, OsIBP1.2	KGE_00000037	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000038	NA	unspecified_trait	unspecified trait	Os01g0124500	MRLK1, OsMRLK1	KGE_00000038	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000039	NA	unspecified_trait	unspecified trait	Os01g0124600	RBBI2-4, OsRBBI2-4	KGE_00000039	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000040	NA	unspecified_trait	unspecified trait	Os01g0124650	RBBI2-3	KGE_00000040	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000041	NA	unspecified_trait	unspecified trait	Os01g0125800	AIP1, OsAIP1, OsWD40-1, OsWD40, WD40-1, WD40, OsDWD68, DWD68	KGE_00000041	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000042	NA	unspecified_trait	unspecified trait	Os01g0126100	LPR1, OsLPR1	KGE_00000042	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000043	NA	unspecified_trait	unspecified trait	Os01g0126200	LPR2, OsLPR2	KGE_00000043	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000044	NA	unspecified_trait	unspecified trait	Os01g0126600	OsFDML2, FDML2	KGE_00000044	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000045	NA	unspecified_trait	unspecified trait	Os01g0126900	LPR4, OsLPR4	KGE_00000045	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000046	data_lt_2007__cult_code_repro;data_lt_2007__spkf	CULT_CODE_REPRO;SPKF	seed length 1000 seed weight mineral and ion content related trait growth and development trait phosphorus uptake seed set percent root thickness phosphorus sensitivity seed width root shape root development trait seed size root to shoot ratio relative biomass relative root length relative plant height adventitious root number	Os01g0127000	LPR3, OsLPR3	KGE_00000046	RAP-DB JSON	high_confidence	ambiguous_keyword_match	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000047	NA	TO:0000507 - osmotic adjustment capacity;TO:0006001 - salt tolerance;TO:0000095 - osmotic response sensitivity;TO:0000325 - soluble protein content;TO:0000371 - yield trait;TO:0002657 - oxidative stress;TO:0001016 - relative chlorophyll content;TO:0000465 - mineral and ion content related trait;TO:0000656 - root development trait;TO:0000608 - sodium content;TO:0000525 - sodium to potassium content ratio;TO:0000357 - growth and development trait;TO:0006002 - proline content	osmotic adjustment capacity salt tolerance osmotic response sensitivity soluble protein content yield trait oxidative stress relative chlorophyll content mineral and ion content related trait root development trait sodium content sodium to potassium content ratio growth and development trait proline content	Os01g0127200	LPR5, OsLPR5, OsSTA2, STA2	KGE_00000047	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000048	data_lt_2007__spkf	SPKF	pollen sterility anther length anther color male sterility seed set percent	Os01g0127500	TKPR2, OsTKPR2	KGE_00000048	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000049	NA	TO:0006001 - salt tolerance;TO:0000276 - drought tolerance	salt tolerance drought tolerance	Os01g0128000	2R_MYB1, MYB1, Os2R_MYB1, MYB2-1, OsMYB2-1	KGE_00000049	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000050	NA	TO:0002667 - abscisic acid content;TO:0000173 - ethylene sensitivity;TO:0000276 - drought tolerance	abscisic acid content ethylene sensitivity drought tolerance	Os01g0128300	ABA4, MHZ4, OsMHZ4, MHZ4/OsABA4, OsABA4	KGE_00000050	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000051	data_lt_2007__spkf	SPKF	pistil anatomy and morphology trait pistil number stamen number seed set percent grain size glume opening stamen anatomy and morphology trait floral organ development trait lodicule anatomy and morphology trait lemma and palea anatomy and morphology trait flower anatomy and morphology trait male sterility	Os01g0129200	SL1, sl1, sl1(t), stl1, opb, OPB, OPB1, ps, PS, DLN2, OsDLN2, OsJAG, JAG, OsJAG.1, OsJAG.2, ZOS1-02, OsZOS1-02	KGE_00000051	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000052	data_lt_2007__spkf	SPKF	grain size cold tolerance seed set percent grain yield grain number blast disease panicle size drought tolerance jasmonic acid sensitivity growth and development trait	Os01g0131600	ERF108, RD2, OsERF#108, OsAP2, OsERF108, AP2/EREBP#001, AP2/EREBP1, OsCRF1, CRF1, ESR1, OsESR1	KGE_00000052	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000053	NA	unspecified_trait	unspecified trait	Os01g0132100	NA	KGE_00000053	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000054	NA	TO:0000326 - leaf color;TO:0000495 - chlorophyll content;TO:0000605 - hydrogen peroxide content;TO:0002657 - oxidative stress;TO:0000460 - light intensity sensitivity;TO:0000316 - photosynthetic ability	leaf color chlorophyll content hydrogen peroxide content oxidative stress light intensity sensitivity photosynthetic ability	Os01g0132800	CRS2, OsCRS2	KGE_00000054	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000055	NA	unspecified_trait	unspecified trait	Os01g0133400	PGLCT, OspGlcT1, pGlcT1, OsPGLCT	KGE_00000055	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000056	NA	unspecified_trait	unspecified trait	Os01g0133900	NA	KGE_00000056	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000057	NA	TO:0000303 - cold tolerance;TO:0000276 - drought tolerance;TO:0000524 - submergence tolerance	cold tolerance drought tolerance submergence tolerance	Os01g0134700	SARDL-1, OsSARDL-1, OsSARD1, CBP-LIKE	KGE_00000057	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000058	NA	TO:0000168 - abiotic stress trait	abiotic stress trait	Os01g0135700	CML16, OsCML16	KGE_00000058	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000059	NA	TO:0000259 - heat tolerance	heat tolerance	Os01g0136000	HSP16.9C, OsHSP16.9C, Oshsp16.9C, OsHsp16.9C, OsHSP16.9C-CI, Oshsp 16.9C	KGE_00000059	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000060	NA	TO:0000259 - heat tolerance;TO:0000653 - seed development trait;TO:0000188 - drought sensitivity	heat tolerance seed development trait drought sensitivity	Os01g0136100	HSP16.9A, OsHsp16.9A, Oshsp16.9A, OsHSP16.9A-CI	KGE_00000060	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000061	NA	TO:0006001 - salt tolerance;TO:0000276 - drought tolerance;TO:0000259 - heat tolerance;TO:0000303 - cold tolerance	salt tolerance drought tolerance heat tolerance cold tolerance	Os01g0139000	RTNLB1, OsRTNLB1	KGE_00000061	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000062	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	hydrogen peroxide content relative biomass relative plant height cytokinin sensitivity abscisic acid sensitivity heat tolerance salt tolerance spikelet number submergence tolerance drought tolerance oxidative stress	Os01g0140100	AP4, OsAP4	KGE_00000062	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000063	NA	unspecified_trait	unspecified trait	Os01g0140400	MRLP1, PLRRP, OsMRLP1	KGE_00000063	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000064	NA	TO:0000524 - submergence tolerance	submergence tolerance	Os01g0140700	AP2/EREBP77, OsRAV8, RAV8, AP2/EREBP#077, OsRAV1, RAV1	KGE_00000064	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000065	NA	TO:0000137 - days to heading;TO:0006001 - salt tolerance	days to heading salt tolerance	Os01g0141000	AP2/EREBP129, AP2/EREBP#129, OsRAV2, RAV2, OsRAV9, RAV9, OsTEM1, TEM1, OsRAV9/OsTEM1	KGE_00000065	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000066	NA	unspecified_trait	unspecified trait	Os01g0141700	OsUV-DDB2, UV-DDB2, OsWD40-2, OsDWD10, DWD10	KGE_00000066	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000067	data_lt_2007__spkf	SPKF	fat and essential oil content spikelet fertility tiller number seed maturation flavonoid content phosphorus sensitivity	Os01g0142300	SQD2.2, SQD2, OsSQD2.2, OsSQD2	KGE_00000067	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000068	NA	TO:0006001 - salt tolerance;TO:0000276 - drought tolerance	salt tolerance drought tolerance	Os01g0142500	2R_MYB2, Os2R_MYB2, MYB2-2, OsMYB2-2	KGE_00000068	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000069	NA	unspecified_trait	unspecified trait	Os01g0142800	PTR7, OsNPF8.1, NPF8.1, OsPTR7, OsNPF8.10, NPF8.10	KGE_00000069	RAP-DB JSON	high_confidence	broader_evidence_pool_not_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
TGE_00000070	data_lt_2007__cult_code_repro	CULT_CODE_REPRO	plant height stem strength internode length	Os01g0147200	ASD1, IWS1, OsIWS1	KGE_00000070	RAP-DB JSON	high_confidence	keyword_match_to_frozen_trait	mapped_gene_coordinate	development_evidence_candidate	trait-gene relation is for evaluation reference or explanation only; not a training label
