trait_id	source_sheet	trait_name	trait_type_guess	n_total_accessions	n_non_missing	missing_rate	n_unique_values	numeric_convertible	mean	std	min	q05	q25	median	q75	q95	max	recommended_for_v0_1	recommendation_priority	recommendation_reason	notes
data_gt_2007__inanth	Data > 2007	INANTH	categorical	149	10	0.932886	1	true	84	0	84	84	84	84	84	84	84	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm internode anthocyanin color; numeric summary describes encoded category values only
data_gt_2007__inco_rev_repro	Data > 2007	INCO_REV_REPRO	binary	149	149	0	2	true	57.449664	6.498894	41	41	60	60	60	60	60	false	P2	样本数较少或暂不适合进入 v0.1-mini	Internode color at reproductive - cultivated; numeric summary describes encoded category values only
data_gt_2007__la	Data > 2007	LA	categorical	149	149	0	4	true	3.651007	1.593594	1	1	3	5	5	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf angle - cultivated; numeric summary describes encoded category values only
data_gt_2007__ligco_rev_veg	Data > 2007	LIGCO_REV_VEG	categorical	149	149	0	4	true	16.463087	18.015205	11	11	11	11	11	62	84	false	P2	样本数较少或暂不适合进入 v0.1-mini	Ligule color at vegetative - cultivated; numeric summary describes encoded category values only
data_gt_2007__ligsh	Data > 2007	LIGSH	binary	149	149	0	2	true	2.986577	0.163846	1	3	3	3	3	3	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Ligule shape; numeric summary describes encoded category values only
data_gt_2007__lpco_rev_post	Data > 2007	LPCO_REV_POST	categorical	149	149	0	7	true	30.590604	16.428804	20	20	20	20	53	54	91	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma and palea color at post-harvest; numeric summary describes encoded category values only
data_gt_2007__lppub	Data > 2007	LPPUB	categorical	149	149	0	3	true	3.832215	0.729705	1	1	4	4	4	4	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma and palea pubescence; numeric summary describes encoded category values only
data_gt_2007__lsen	Data > 2007	LSEN	categorical	149	149	0	3	true	6.744966	1.121982	5	5	7	7	7	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf senescence; numeric summary describes encoded category values only
data_gt_2007__name	Data > 2007	NAME	id_or_metadata	149	149	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
data_gt_2007__noanth	Data > 2007	NOANTH	categorical	149	6	0.959732	1	true	84	0	84	84	84	84	84	84	84	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm node of anthocyanin color; numeric summary describes encoded category values only
data_gt_2007__noco_rev	Data > 2007	NOCO_REV	binary	149	149	0	2	true	59.61745	2.677729	41	60	60	60	60	60	60	false	P2	样本数较少或暂不适合进入 v0.1-mini	Node color; numeric summary describes encoded category values only
data_gt_2007__pa_repro	Data > 2007	PA_REPRO	categorical	149	149	0	3	true	3.469799	0.576066	2	3	3	4	4	4	4	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle axis at reproductive; numeric summary describes encoded category values only
data_gt_2007__pex_repro	Data > 2007	PEX_REPRO	categorical	149	149	0	3	true	7.926174	1.49817	5	5	7	9	9	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle exsertion at reproductive; numeric summary describes encoded category values only
data_gt_2007__psh	Data > 2007	PSH	binary	149	149	0	2	true	1.013423	0.163846	1	1	1	1	1	1	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle shattering; numeric summary describes encoded category values only
data_gt_2007__pth	Data > 2007	PTH	categorical	149	149	0	3	true	2.288591	0.72871	1	1	2	2	3	3	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle threshability; numeric summary describes encoded category values only
data_gt_2007__pty	Data > 2007	PTY	binary	149	149	0	2	true	4.261745	0.968392	3	3	3	5	5	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Panicle type; numeric summary describes encoded category values only
data_gt_2007__second_br_repro	Data > 2007	SECOND_BR_REPRO	binary	149	148	0.006711	2	true	1.027027	0.162713	1	1	1	1	1	1	2	false	P2	样本数较少或暂不适合进入 v0.1-mini	Secondary branching at reproductive; numeric summary describes encoded category values only
data_gt_2007__slco_rev	Data > 2007	SLCO_REV	binary	149	149	0	2	true	22.818792	12.738563	20	20	20	20	20	20	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Sterile lemma color; numeric summary describes encoded category values only
data_gt_2007__sllt_code	Data > 2007	SLLT_CODE	binary	149	149	0	2	true	3.483221	0.859007	3	3	3	3	3	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Sterile lemma length; numeric summary describes encoded category values only
data_gt_2007__spkf	Data > 2007	SPKF	categorical	149	149	0	4	true	3.832215	0.537797	2	3	4	4	4	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Spikelet fertility; numeric summary describes encoded category values only
data_gt_2007__stock_id	Data > 2007	STOCK_ID	id_or_metadata	149	149	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
data_lt_2007__apco_rev_post	Data < 2007	APCO_REV_POST	categorical	2096	456	0.782443	8	true	44.359649	52.788382	20	20	20	20	80	87	999	false	P2	样本数较少或暂不适合进入 v0.1-mini	Apiculus color at post-harvest; numeric summary describes encoded category values only
data_lt_2007__apco_rev_repro	Data < 2007	APCO_REV_REPRO	categorical	2096	2095	0.000477	9	true	40.18043	51.543779	10	10	20	20	80	80	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Apiculus color at reproductive; numeric summary describes encoded category values only
data_lt_2007__auco_rev_veg	Data < 2007	AUCO_REV_VEG	categorical	2096	2095	0.000477	3	true	64.51074	35.908123	61	61	61	61	61	80	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Auricle color at vegetative; numeric summary describes encoded category values only
data_lt_2007__awco_rev	Data < 2007	AWCO_REV	categorical	2096	419	0.800095	7	true	39.825776	53.522885	20	20	20	20	70	80	999	false	P2	样本数较少或暂不适合进入 v0.1-mini	Awn color; numeric summary describes encoded category values only
data_lt_2007__awpr_repro	Data < 2007	AWPR_REPRO	categorical	2096	420	0.799618	4	true	3.033333	2.870113	1	1	1	1	5	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Awn presence at reproductive; numeric summary describes encoded category values only
data_lt_2007__blco_rev_veg	Data < 2007	BLCO_REV_VEG	categorical	2096	2096	0	8	true	63	21.41721	60	60	60	60	63	85	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Blade color at vegetative; numeric summary describes encoded category values only
data_lt_2007__blpub_veg	Data < 2007	BLPUB_VEG	categorical	2096	2095	0.000477	3	true	2.888305	0.429268	1	2	3	3	3	3	3	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Blade pubescence at vegetative; numeric summary describes encoded category values only
data_lt_2007__blsco_rev_veg	Data < 2007	BLSCO_REV_VEG	categorical	2096	2095	0.000477	5	true	63.919809	22.009468	60	60	60	60	60	84	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Basal leafsheath color at vegetative; numeric summary describes encoded category values only
data_lt_2007__cco_rev_veg	Data < 2007	CCO_REV_VEG	categorical	2096	2096	0	4	true	64.037214	35.916405	60	60	60	61	61	80	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Collar color at vegetative - cultivated; numeric summary describes encoded category values only
data_lt_2007__cropyear	Data < 2007	CROPYEAR	id_or_metadata	2096	589	0.718989	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
data_lt_2007__cuan_repro	Data < 2007	CUAN_REPRO	categorical	2096	2094	0.000954	8	true	2.87297	1.568961	1	1	1	3	3	7	9	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Culm angle at reproductive; numeric summary describes encoded category values only
data_lt_2007__cudi_code_repro	Data < 2007	CUDI_CODE_REPRO	binary	2096	2093	0.001431	2	true	1.650263	0.477001	1	1	1	2	2	2	2	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Culm diam. of basal internode at reproductive; numeric summary describes encoded category values only
data_lt_2007__cult_code_repro	Data < 2007	CULT_CODE_REPRO	categorical	2096	2075	0.010019	7	true	4.760482	1.431489	1	2	4	5	6	7	7	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Culm length at reproductive; numeric summary describes encoded category values only
data_lt_2007__cuno_code_repro	Data < 2007	CUNO_CODE_REPRO	categorical	2096	2076	0.009542	3	true	2.118979	0.46133	1	1	2	2	2	3	3	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Culm number (code) at reproductive - cultivated; numeric summary describes encoded category values only
data_lt_2007__cust_repro	Data < 2007	CUST_REPRO	categorical	2096	2094	0.000954	8	true	3.897803	2.755538	1	1	1	3	7	9	9	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Culm strength at reproductive - cultivated; numeric summary describes encoded category values only
data_lt_2007__endo	Data < 2007	ENDO	categorical	2096	2091	0.002385	3	true	1.06791	0.253546	1	1	1	1	1	2	3	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Endosperm type; numeric summary describes encoded category values only
data_lt_2007__fla_repro	Data < 2007	FLA_REPRO	categorical	2096	2092	0.001908	4	true	4.00478	1.666038	1	1	3	5	5	7	7	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Flag leaf angle at reproductive - cultivated; numeric summary describes encoded category values only
data_lt_2007__inco_rev_repro	Data < 2007	INCO_REV_REPRO	categorical	2096	2095	0.000477	4	true	57.07494	11.385643	41	41	41	60	60	80	84	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Internode color at reproductive - cultivated; numeric summary describes encoded category values only
data_lt_2007__la	Data < 2007	LA	categorical	2096	1382	0.340649	10	true	4.418234	26.845527	1	1	2	3	5	7	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Leaf angle - cultivated; numeric summary describes encoded category values only
data_lt_2007__ligco_rev_veg	Data < 2007	LIGCO_REV_VEG	categorical	2096	2096	0	4	true	16.828244	35.295156	11	11	11	11	11	80	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Ligule color at vegetative - cultivated; numeric summary describes encoded category values only
data_lt_2007__ligsh	Data < 2007	LIGSH	categorical	2096	1380	0.341603	3	true	2.002174	0.060175	1	2	2	2	2	2	3	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Ligule shape; numeric summary describes encoded category values only
data_lt_2007__llt_code	Data < 2007	LLT_CODE	categorical	2096	2076	0.009542	5	true	3.225915	0.683381	1	2	3	3	4	4	5	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Leaf length - cultivated; numeric summary describes encoded category values only
data_lt_2007__lpco_rev_post	Data < 2007	LPCO_REV_POST	categorical	2096	2094	0.000954	11	true	37.568768	36.860875	20	20	20	20	53	90	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Lemma and palea color at post-harvest; numeric summary describes encoded category values only
data_lt_2007__lppub	Data < 2007	LPPUB	categorical	2096	1381	0.341126	6	true	4.115858	26.814168	1	1	2	4	4	5	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Lemma and palea pubescence; numeric summary describes encoded category values only
data_lt_2007__lsen	Data < 2007	LSEN	categorical	2096	2093	0.001431	7	true	3.17248	2.503796	1	1	1	3	5	9	9	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Leaf senescence; numeric summary describes encoded category values only
data_lt_2007__name	Data < 2007	NAME	id_or_metadata	2096	2096	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
data_lt_2007__noco_rev	Data < 2007	NOCO_REV	categorical	2096	589	0.718989	4	true	62.365025	38.856979	60	60	60	60	60	60	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Node color; numeric summary describes encoded category values only
data_lt_2007__pa_repro	Data < 2007	PA_REPRO	binary	2096	1381	0.341126	2	true	1.992035	0.088924	1	2	2	2	2	2	2	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Panicle axis at reproductive; numeric summary describes encoded category values only
data_lt_2007__pex_repro	Data < 2007	PEX_REPRO	categorical	2096	2095	0.000477	8	true	2.409069	2.056326	1	1	1	1	3	7	9	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Panicle exsertion at reproductive; numeric summary describes encoded category values only
data_lt_2007__plt_code_post	Data < 2007	PLT_CODE_POST	categorical	2096	2071	0.011927	4	true	2.966683	0.439972	1	2	3	3	3	4	4	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Panicle length at post-harvest; numeric summary describes encoded category values only
data_lt_2007__psh	Data < 2007	PSH	categorical	2096	1380	0.341603	3	true	1.381159	0.927976	1	1	1	1	1	3	5	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Panicle shattering; numeric summary describes encoded category values only
data_lt_2007__pth	Data < 2007	PTH	categorical	2096	2092	0.001908	9	true	6.032027	2.618119	1	1	5	5	9	9	9	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Panicle threshability; numeric summary describes encoded category values only
data_lt_2007__pty	Data < 2007	PTY	categorical	2096	2093	0.001431	10	true	5.354993	21.837279	1	1	5	5	5	9	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Panicle type; numeric summary describes encoded category values only
data_lt_2007__scco_rev	Data < 2007	SCCO_REV	categorical	2096	2092	0.001908	8	true	24.776291	53.509915	10	10	10	10	10	70	999	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Seed coat color; numeric summary describes encoded category values only
data_lt_2007__sdht_code	Data < 2007	SDHT_CODE	categorical	2096	2074	0.010496	3	true	1.854388	0.487185	1	1	2	2	2	3	3	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Seedling height; numeric summary describes encoded category values only
data_lt_2007__second_br_repro	Data < 2007	SECOND_BR_REPRO	categorical	2096	1377	0.343034	3	true	1.034132	0.207763	1	1	1	1	1	1	3	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Secondary branching at reproductive; numeric summary describes encoded category values only
data_lt_2007__slco_rev	Data < 2007	SLCO_REV	categorical	2096	1904	0.091603	4	true	26.859244	18.470386	20	20	20	20	20	80	80	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Sterile lemma color; numeric summary describes encoded category values only
data_lt_2007__sllt_code	Data < 2007	SLLT_CODE	categorical	2096	2091	0.002385	3	true	2.939742	0.86738	1	1	3	3	3	5	5	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Sterile lemma length; numeric summary describes encoded category values only
data_lt_2007__spkf	Data < 2007	SPKF	categorical	2096	2094	0.000954	5	true	3.03916	1.197383	1	1	3	3	3	5	9	true	P1	覆盖度较高，可作为 v0.1-mini 候选 trait_state	Spikelet fertility; numeric summary describes encoded category values only
data_lt_2007__stock_id	Data < 2007	STOCK_ID	id_or_metadata	2096	2096	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
phenotype_data__apanth_repro	Phenotype Data	APANTH_REPRO	categorical	23	1	0.956522	1	true	0	0	0	0	0	0	0	0	0	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma_Anthocyanin colouration of area below apiculus; numeric summary describes encoded category values only
phenotype_data__apco_rev_post	Phenotype Data	APCO_REV_POST	categorical	23	3	0.869565	1	true	20	0	20	20	20	20	20	20	20	false	P2	样本数较少或暂不适合进入 v0.1-mini	Apiculus color at post-harvest; numeric summary describes encoded category values only
phenotype_data__apco_rev_repro	Phenotype Data	APCO_REV_REPRO	categorical	23	23	0	5	true	47.565217	31.240746	10	10	15	52	80	80	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Apiculus color at reproductive; numeric summary describes encoded category values only
phenotype_data__apsh	Phenotype Data	APSH	categorical	23	1	0.956522	1	true	2	0	2	2	2	2	2	2	2	false	P2	样本数较少或暂不适合进入 v0.1-mini	Lemma shape of apiculus; numeric summary describes encoded category values only
phenotype_data__auco_rev_veg	Phenotype Data	AUCO_REV_VEG	categorical	23	23	0	3	true	61.869565	3.957781	61	61	61	61	61	61.9	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Auricle color at vegetative; numeric summary describes encoded category values only
phenotype_data__awco_lrev	Phenotype Data	AWCO_LREV	categorical	23	1	0.956522	1	true	0	0	0	0	0	0	0	0	0	false	P2	样本数较少或暂不适合进入 v0.1-mini	Awn color (Late observation); numeric summary describes encoded category values only
phenotype_data__awco_rev	Phenotype Data	AWCO_REV	categorical	23	23	0	4	true	13.043478	28.031603	0	0	0	0	0	80	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Awn color; numeric summary describes encoded category values only
phenotype_data__awdist	Phenotype Data	AWDIST	categorical	23	0	1	0	false										false	P2	当前 high-confidence subset 中无非缺失值	Distribution of awns
phenotype_data__awpr_repro	Phenotype Data	AWPR_REPRO	categorical	23	22	0.043478	5	true	1.045455	2.516181	0	0	0	0	0	6.9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Awn presence at reproductive; numeric summary describes encoded category values only
phenotype_data__blanthdi_veg	Phenotype Data	BLANTHDI_VEG	categorical	23	0	1	0	false										false	P2	当前 high-confidence subset 中无非缺失值	Leaf blade distribution of anthocyanin coloration
phenotype_data__blanthpr_veg	Phenotype Data	BLANTHPR_VEG	categorical	23	1	0.956522	1	true	0	0	0	0	0	0	0	0	0	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf blade anthocyanin coloration; numeric summary describes encoded category values only
phenotype_data__blco_rev_veg	Phenotype Data	BLCO_REV_VEG	categorical	23	23	0	4	true	62.173913	5.175574	60	60	60	60	63	63	85	false	P2	样本数较少或暂不适合进入 v0.1-mini	Blade color at vegetative; numeric summary describes encoded category values only
phenotype_data__blpub_veg	Phenotype Data	BLPUB_VEG	binary	23	23	0	2	true	2.826087	0.576208	1	1.2	3	3	3	3	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Blade pubescence at vegetative; numeric summary describes encoded category values only
phenotype_data__blsco_anth_veg	Phenotype Data	BLSCO_ANTH_VEG	categorical	23	1	0.956522	1	true	0	0	0	0	0	0	0	0	0	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf sheath anthocyanin coloration; numeric summary describes encoded category values only
phenotype_data__blsco_rev_veg	Phenotype Data	BLSCO_REV_VEG	binary	23	23	0	2	true	62.086957	6.914498	60	60	60	60	60	81.6	84	false	P2	样本数较少或暂不适合进入 v0.1-mini	Basal leafsheath color at vegetative; numeric summary describes encoded category values only
phenotype_data__cco_rev_veg	Phenotype Data	CCO_REV_VEG	categorical	23	23	0	3	true	61.173913	4.130289	60	60	60	60	61	61	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Collar color at vegetative - cultivated; numeric summary describes encoded category values only
phenotype_data__cropyear	Phenotype Data	CROPYEAR	id_or_metadata	23	3	0.869565	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
phenotype_data__cuan_repro	Phenotype Data	CUAN_REPRO	categorical	23	23	0	3	true	2.130435	1.575504	1	1	1	1	3	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm angle at reproductive; numeric summary describes encoded category values only
phenotype_data__cudi_code_repro	Phenotype Data	CUDI_CODE_REPRO	binary	23	22	0.043478	2	true	1.590909	0.503236	1	1	1	2	2	2	2	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm diam. of basal internode at reproductive; numeric summary describes encoded category values only
phenotype_data__cult_code_repro	Phenotype Data	CULT_CODE_REPRO	categorical	23	22	0.043478	6	true	4.5	1.439246	2	2	3.25	5	5	6	7	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm length at reproductive; numeric summary describes encoded category values only
phenotype_data__cuno_code_repro	Phenotype Data	CUNO_CODE_REPRO	categorical	23	22	0.043478	3	true	2	0.308607	1	2	2	2	2	2	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm number (code) at reproductive - cultivated; numeric summary describes encoded category values only
phenotype_data__cust_repro	Phenotype Data	CUST_REPRO	categorical	23	23	0	5	true	3.695652	3.110609	1	1	1	3	7	9	9	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm strength at reproductive - cultivated; numeric summary describes encoded category values only
phenotype_data__endo	Phenotype Data	ENDO	binary	23	22	0.043478	2	true	1.136364	0.35125	1	1	1	1	1	2	2	false	P2	样本数较少或暂不适合进入 v0.1-mini	Endosperm type; numeric summary describes encoded category values only
phenotype_data__fla_erepro	Phenotype Data	FLA_EREPRO	categorical	23	1	0.956522	1	true	3	0	3	3	3	3	3	3	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Flagleaf (attitude of blade) - Early observation; numeric summary describes encoded category values only
phenotype_data__fla_repro	Phenotype Data	FLA_REPRO	categorical	23	23	0	3	true	3.434783	1.700965	1	1	2	3	5	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Flag leaf angle at reproductive - cultivated; numeric summary describes encoded category values only
phenotype_data__gs_accno	Phenotype Data	GS_ACCNO	id_or_metadata	23	23	0	0	false										false	metadata	ID 或 metadata 字段，不作为 trait_state	excluded from trait_value_table and trait_state_table
phenotype_data__inanth	Phenotype Data	INANTH	categorical	23	1	0.956522	1	true	0	0	0	0	0	0	0	0	0	false	P2	样本数较少或暂不适合进入 v0.1-mini	Culm internode anthocyanin color; numeric summary describes encoded category values only
phenotype_data__inco_rev_repro	Phenotype Data	INCO_REV_REPRO	categorical	23	23	0	3	true	59.217391	7.096456	41	42.9	60	60	60	60	80	false	P2	样本数较少或暂不适合进入 v0.1-mini	Internode color at reproductive - cultivated; numeric summary describes encoded category values only
phenotype_data__la	Phenotype Data	LA	categorical	23	9	0.608696	4	true	3.333333	1.802776	1	1	2	4	5	5	5	false	P2	样本数较少或暂不适合进入 v0.1-mini	Leaf angle - cultivated; numeric summary describes encoded category values only
phenotype_data__ligco_rev_veg	Phenotype Data	LIGCO_REV_VEG	binary	23	23	0	2	true	13.217391	10.634235	11	11	11	11	11	11	62	false	P2	样本数较少或暂不适合进入 v0.1-mini	Ligule color at vegetative - cultivated; numeric summary describes encoded category values only
phenotype_data__ligsh	Phenotype Data	LIGSH	binary	23	9	0.608696	2	true	2.888889	0.333333	2	2.4	3	3	3	3	3	false	P2	样本数较少或暂不适合进入 v0.1-mini	Ligule shape; numeric summary describes encoded category values only
