major_category	trait_category	trait	n_qtl_rows	chrom_values	example_qtl_names	example_references	evidence_tier	notes
Morphological trait	Panicle/flower	panicle length	5	1,3,6,7,9	qPL-6,pl9,sp2(t),qPL3-1,PLFDH	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.,Xing, Y.Z., Xu, C.G., Hua, J.P., and Tan, Y.F. (2001). Analysis of QTL x environment interaction for rice panicle characteristics. Yi Chuan Xue Bao 28, 439-446.,Yoshimura, A., Takano-Kai, N., and Anno, C. (2004). Linkage mapping of genes for short panicle and awn in rice. Rice Genetics Newsletter 21, 17-19.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	seed shattering	5	4,5	Sh3,Sh3-gla,Sh6-mer,Sh5-glum,Sh(t)	Nagai, Y.S., Sobrizal, Sanchez, P.L., Kurakazu, T., Doi, K., and Yoshimura, A. (2002). Sh3, a gene for seed shattering, commonly found in wild rices. Rice Genetics Newsletter 19, 74-76.,Nagai, Y.S., Doi, K., and Yoshimura, A. (2002). A seed shattering gene, Sh3, and its inhibitor gene found in an African cultivated rice, Oryza glaberrima Steud. Rice Genetics Newsletter 19, 76-77.,Sanchez, P.L., Kurakazu, T., Hirata, C., Sobrizal, and Yoshimura, A. (2002). Identification and mapping of seed shattering genes using introgression lines from wild rice species. Rice Genetics Newsletter 19, 78-80.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	relative amount of mRNA	5	11,2,3,7,9	OsPRR95,OsPRR59,OsPRR37,OsORR73,OsPRR1	Murakami, M., Ashikari, M., Miura, K., Yamashino, T., and Mizuno, T. (2003). The evolutionarily conserved OsPRR quintet: rice pseudo-response regulators implicated in circadian rhythm. Plant Cell Physiol 44, 1229-1236.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Sterility	pollen sterility	5	1,10,3	S34(t),Rf3,Rf	Zhang, Z., Xu, P., Hu, F., Zhou, J., J.Li, Deng, X., Ren, G., Li, F., and Tao, D. (2005). A new sterile gene from Oryza glaberrima on chromosome 3. Rice Genetics Newsletter 22, 26-.,Sattari, M., Kathiresan, A., Gregorio, G., and Virmani, S. (2007). Comparative genetic analysis and molecular mapping of fertility restoration genes for WA, Dissi, and Gambiaca cytoplasmic male sterility systems in rice. Euphytica.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Sterility	spikelet fertility	5	10,2,4,6	S-9,qSPTF6,qRf-10-2,S5,qSS-2	Zhu, S.S., Wang, C.M., Zheng, T.Q., Zhao, Z.G., Wan, J.M., and H.Ikehashi. (2004). A novel gene causing hybrid sterility in a remote cross of rice (Oryza sativa L.). Rice Genetics Newsletter 21, 44-46.,Yan, C.J., Liang, G.H., Gu, S.L., Yi, C.D., Lu, J.F., Li, X., Tang, S.Z., and Gu, M.H. (2003). Molecular marker analysis and genetic basis for sterility of typical indica/japonica hybrids. Yi Chuan Xue Bao 30, 267-276.,Xie, J.K., Zhuang, J.Y., Fan, Y.Y., Tu, G.Q., Xia, Y.W., and Zheng, K.L. (2002). Mapping of fertility-restoring genes with main effects and epistatic effects for CMS-DA in rice. Yi Chuan Xue Bao 29, 616-621.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	panicle number	4	1,2,3,8	qPN2,Qpn3,PNF(DH)1	Yuan, A.P., Cao, L.Y., Zhuang, J.Y., Li, R.Z., Zheng, K.L., Zhu, J., and Cheng, S.H. (2003). Analysis of additive and AE interaction effects of QTLs controlling plant height, heading date and panicle number in rice (Oryza sativa L.). Yi Chuan Xue Bao 30, 899-906.,Xu, J.L., Xue, Q.Z., Luo, L.J., and Li, Z.K. (2001). QTL dissection of panicle number per plant and spikelet number per panicle in rice (Oryza sativa L.). Yi Chuan Xue Bao 28, 752-759.,Brondani, C., Rangel, N., Brondani, V., and Ferreira, E. (2002). QTL mapping and introgression of yield-related traits from Oryza glumaepatula to cultivated rice ( Oryza sativa) using microsatellite markers. Theor Appl Genet 104, 1192-1203.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	grain length	4	11,3	qGL-3a,qGL-3	Wan, X.Y., Wan, J.M., Jiang, L., Wang, J.K., Zhai, H.Q., Weng, J.F., Wang, H.L., Lei, C.L., Wang, J.L., Zhang, X., Cheng, Z.J., and Guo, X.P. (2006). QTL analysis for rice grain length and fine mapping of an identified QTL with stable and major effects. Theor Appl Genet 112, 1258-1270.,Yoshida, S., Ikegami, M., Kuze, J., Sawada, K., Hashimoto, Z., Ishii, T., Nakamura, C., and Kamijima, O. (2002). QTL Analysis for Plant and Grain Characters of Sake-brewing Rice Using a Doubled Haploid Population. Breeding Science 52, 309-317.,Rabiei, B., Valizadeh, M., Ghareyazie, B., Moghaddam, M., and Ali, A.J. (2004). Identification of QTLs for rice grain size and shape of Iranian cultivars using SSR markers. Euphytica V137, 325-332.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	grain yield	4	12,6,8,9	gy9,gy12	Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2000). Comparison of QTL detection for yield traits using F2 and recombinant inbred lines in rice. Rice Genetics Newsletter 17, 49-51.,Cho, Y.I., Jiang, W., Chin, J.H., Piao, Z., Cho, Y.G., McCouch, S., and Koh, H.J. (2007). Identification of QTLs associated with physiological nitrogen use efficiency in rice. Mol Cells 23, 72-79.,Rangel, P.N., Brondani, R.P., Rangel, P.H., and Brondani, C. (2008). Agronomic and molecular characterization of introgression lines from the interspecific cross Oryza sativa (BG90-2) x Oryza glumaepatula (RS-16). Genet Mol Res 7, 184-195.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Flowering	Heading date	4	3,6,7	qHDD3-2,hd7a,qHD6	Hittalmani, S., Huang, N., Courtois, B., Venuprasad, R., Shashidhar, H.E., Zhuang, J.Y., Zheng, K.L., Liu, G.F., Wang, G.C., Sidhu, J.S., Srivantaneeyakul, S., Singh, V.P., Bagali, P.G., Prasanna, H.C., McLaren, G., and Khush, G.S. (2003). Identification of QTL for growth- and grain yield-related traits in rice across nine locations of Asia. Theor Appl Genet 107, 679-690.,Yu, S.B., Li, J.X., Xu, C.G., Tan, Y.F., Li, X.H., and Zhang, Q. (2002). Identification of quantitative trait loci and epistatic interactions for plant height and heading date in rice. Theor Appl Genet 104, 619-625.,Wada, T., Uchimura, Y., Ogata, T., Tsubone, M., and Matsue, Y. (2006). Mapping of QTLs for Physicochemical Properties in Japonica Rice. Breeding Science 56, 253-260.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Physiological trait	Source activity	spikelet fertility	4	1,6	qSF-1,qSF-6	Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2001). Comparison of the detection of QTL for yield traits in different generations of a rice cross using two mapping approaches. Yi Chuan Xue Bao 28, 458-464.,Zhuang, J.Y., Fan, Y.Y., Rao, Z.M., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2002). Analysis on additive effects and additive-by-additive epistatic effects of QTLs for yield traits in a recombinant inbred line population of rice. Theor Appl Genet 105, 1137-1145.,Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2000). Comparison of QTL detection for yield traits using F2 and recombinant inbred lines in rice. Rice Genetics Newsletter 17, 49-51.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Blast resistance	blast resistance	4	1,2,6,9	Pi-d2,Pi-y(t),Pi5(t),Pi37	Chen, X., Shang, J., Chen, D., Lei, C., Zou, Y., Zhai, W., Liu, G., Xu, J., Ling, Z., Cao, G., Ma, B., Wang, Y., Zhao, X., Li, S., and Zhu, L. (2006). A B-lectin receptor kinase gene conferring rice blast resistance. Plant J 46, 794-804.,Lei, C.L., Huang, D.Y., Li, W., Wang, J.L., Liu, Z.L., Wang, X.T., Shi, K., Cheng, Z.J., Zhsng, X., Ling, Z.Z., and Wan, J.M. (2005). Molecular mapping of a blast resistance gene in an indica rice cultivar Yanxian No.1. Rice Genetics Newsletter 22, 76-.,Jeon, J.S., Chen, D., Yi, G.H., Wang, G.L., and Ronald, P.C. (2003). Genetic and physical mapping of Pi5(t), a locus associated with broad-spectrum resistance to rice blast. Mol Genet Genomics 269, 280-289.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Resistance or Tolerance	Drought tolerance	Plant height	4	1,3	qPHT3-2,sd1,ph1.2	Hemamalini, G.S., Shashidhar, H.E., and Hittalmani, S. (2000). Molecular marker assisted tagging of morphological and physiological traits under two contrasting moisture regimes at peak vegetative stage in rice (Oryza sativa L.). Euphytica V112, 69-78.,Lafitte, H.R., Courtois, B., and Arraudeau, M. (2002). Genetic improvement of rice in aerobic systems: progress from yield to genes. Field Crops Research 75, 171-190.,Moncada, P., Mart?nez, C.P., Borrero, J., Chatel, M., Gauch Jr, H., Guimaraes, E., Tohme, J., and McCouch, S.R. (2001). Quantitative trait loci for yield and yield components in an Oryza sativa×Oryza rufipogon BC2F2 population evaluated in an upland environment. TAG Theoretical and Applied Genetics 102, 41-52.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Culm/leaf	Tiller number	3	1,2,9	Tiller number,qTN-9-2	Miyamoto, N., Goto, Y., Matsui, M., Ukai, Y., Morita, M., and Nemoto, K. (2004). Quantitative trait loci for phyllochron and tillering in rice. Theor Appl Genet 109, 700-706.,Courtois, B., Shen, L., Petalcorin, W., Carandang, S., Mauleon, R., and Li, Z. (2003). Locating QTLs controlling constitutive root traits in the rice population IAC 165 × Co39. Euphytica V134, 335-345.,Yang, G., Xing, Y., Li, S., Ding, J., Yue, B., Deng, K., Li, Y., and Zhu, Y. (2006). Molecular dissection of developmental behavior of tiller number and plant height and their relationship in rice (Oryza sativa L.). Hereditas 143, 236-245.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf		3	1,3,6	sd1,sho2,d4	Maeda, H., lshii, T., Mori, H., Kuroda, J., Horimoto, M., Takamure, I., Kinoshita, T., and Kamijima, O. (1997). High Density Molecular Map of Semidwarfing Gene ,sd-1, in Rice (Oryza sativa L.). Breeding Science 47, 317-320.,Ashikari, M.M.C., Kitano, H., Nagato, Y., and Matsuoka, M. (2001). High resolution mapping of SHOOT ORGANIZATION 2 gene, SHO2. Rice Genetics Newsletter 18, 17-19.,Maekawa, M., Takamure, I., Ahmed, N., and Kyozuka, J. (2005). Bunketsu-waito, One of the Tillering Dwarfs, is Controlled by a Single Recessive Gene in Rice (Oryza sativa L.). Breeding Science 55, 193-196.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	culm length	3	11,12,8	qCL-12,cl8.1	Yamamoto, T., Taguchi-Shiobara, F., Ukai, Y., Sasaki, T., and Yano, M. (2001). Mapping Quantitative Trait Loci for Days-to-heading, and Culm, Panicle and Internode Lengths in a BC1F3 Population Using an Elite Rice Variety, Koshihikari, as the Recurrent Parent. Breeding Science 51, 63-71.,Ahn, S.N., Kwon, S.J., Suh, J.P., Kang, K.H., Kim, H.J., Hwang, H.G., and Moon, H.P. (2002). Introgressions of Oryza grandiglumis chromatin into rice affect plant height and grain length. Rice Genetics Newsletter 19, 12-13.,Cho, Y.-G., Kang, H.-J., Lee, J.-S., Lee, Y.-T., Lim, S.-J., Gauch, H., Eun, M.-Y., and McCouch, S.R. (2007). Identification of Quantitative Trait Loci in Rice for Yield, Yield Components, and Agronomic Traits across Years and Locations. Crop Sci. 47, 2403-2417.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Dwarf	dwarf	3	11,2,4	d50,d11,d-27	Sato, K., Ashikari, M., Tamura, K., Mase, K., Kitano, H., Matsuoka, M., and Katayama, Y. (2002). High resolution map of DWARF 50 (D50) in rice. Rice Genetics Newsletter 19, 31-33.,Tanabe, S.B., Ashikari, M., Yano, M., Yoshimura, A., Matsuoka, M., Kitano, H., Asahi, T., and Iwasaki, Y. (2000). High resolution map of dwarf mutant gene, dwarf 11 of rice. Rice Genetics Newsletter 17, 18-19.,Yu, Z.H., Kinoshita, T., Sato, S., and Tanksley, S.D. (1992). Morphological and RFLP markers are associated in rice. Rice Genetics Newsletter 9, 116-118.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	shattering	3	1,3,4	qSH1,sh4,qSHT-4	Konishi, S., Izawa, T., Lin, S.Y., Ebana, K., Fukuta, Y., Sasaki, T., and Yano, M. (2006). An SNP Caused Loss of Seed Shattering During Rice Domestication. Science 312, 1392-1396.,Fukuta, Y., and Yagi, T. (1998). Mapping of a Shattering Resistance Gene in a Mutant Line SR-5 Induced from an indica Rice Variety, Nan-jing 11. Breeding Science 48, 345-348.,Cai, H.W., and Morishima, H. (2000). Genomic regions affecting seed shattering and seed dormancy in rice. TAG Theoretical and Applied Genetics 100, 840-846.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	spikelets per panicle	3	1,4	sp1a,spp1.2,spp4-2	Xing, Y.Z., Xu, C.G., Hua, J.P., and Tan, Y.F. (2001). Analysis of QTL x environment interaction for rice panicle characteristics. Yi Chuan Xue Bao 28, 439-446.,Cho, Y.-G., Kang, H.-J., Lee, J.-S., Lee, Y.-T., Lim, S.-J., Gauch, H., Eun, M.-Y., and McCouch, S.R. (2007). Identification of Quantitative Trait Loci in Rice for Yield, Yield Components, and Agronomic Traits across Years and Locations. Crop Sci. 47, 2403-2417.,Xiao, J., Li, J., Yuan, L., and Tanksley, S.D. (1996). Identification of QTLs affecting traits of agronomic importance in a recombinant inbred population derived from a subspecific rice cross. TAG Theoretical and Applied Genetics 92, 230-244.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Panicle/flower	total number of spikelets per panicle	3	1,6	qTNSP-1-1	Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2001). Comparison of the detection of QTL for yield traits in different generations of a rice cross using two mapping approaches. Yi Chuan Xue Bao 28, 458-464.,Zhuang, J.Y., Fan, Y.Y., Rao, Z.M., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2002). Analysis on additive effects and additive-by-additive epistatic effects of QTLs for yield traits in a recombinant inbred line population of rice. Theor Appl Genet 105, 1137-1145.,Zhuang, J.Y., Fan, Y.Y., Wu, J.L., Xia, Y.W., and Zheng, K.L. (2000). Comparison of QTL detection for yield traits using F2 and recombinant inbred lines in rice. Rice Genetics Newsletter 17, 49-51.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	"1,000-grain weight"""""	3	2,6	tgw2,qGW-6	Yoon, D.B., Kang, K.H., Kim, H.J., Ju, H.G., Kwon, S.J., Suh, J.P., Jeong, O.Y., and Ahn, S.N. (2006). Mapping quantitative trait loci for yield components and morphological traits in an advanced backcross population between Oryza grandiglumis and the O. sativa japonica cultivar Hwaseongbyeo. Theor Appl Genet 112, 1052-1062.,Ishimaru, K. (2003). Identification of a Locus Increasing Rice Yield and Physiological Analysis of Its Function. Plant Physiology 133, 1083-1090.,Suh, J.P., Ahn, S.N., Cho, Y.C., Kang, K.H., Choi, I.S., Kim, Y.G., Suh, H.S., and Hong, H.C. (2005). Mapping of QTLs for yield traits using an advanced backcross population from a cross between Oryza sativa and O. glaberrima. Korean J. Breed. 37, 214-220	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Grain length	3	1,6,9	qGL-6,qGL9,grl1-1	Li, Z.F., Wan, J.M., Xia, J.F., and Zhai, H.Q. (2003). Mapping quantitative trait loci underlying appearance quality of rice grains (Oryza sativa L.). Yi Chuan Xue Bao 30, 251-259.,Miyata, M., Yamamoto, T., Komori, T., and Nitta, N. (2007). Marker-assisted selection and evaluation of the QTL for stigma exsertion under japonica rice genetic background. Theor Appl Genet 114, 539-548.,Amarawathi, Y., Singh, R., Singh, A.K., Singh, V.P., Mohapatra, T., Sharma, T.R., and Singh, N.K. (2007). Mapping of quantitative trait loci for basmati quality traits in rice ( Oryza sativa L.) Molecular Breeding.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Grain weight	3	1,2,3	gw1.1,gw3.1,Gw2	Septiningsih, E.M., Prasetiyono, J., Lubis, E., Tai, T.H., Tjubaryat, T., Moeljopawiro, S., and McCouch, S.R. (2003). Identification of quantitative trait loci for yield and yield components in an advanced backcross population derived from the Oryza sativa variety IR64 and the wild relative O. rufipogon. Theor Appl Genet 107, 1419-1432.,Thomson, M.J., Tai, T.H., McClung, A.M., Lai, X.H., Hinga, M.E., Lobos, K.B., Xu, Y., Martinez, C.P., and McCouch, S.R. (2003). Mapping quantitative trait loci for yield, yield components and morphological traits in an advanced backcross population between Oryza rufipogon and the Oryza sativa cultivar Jefferson. Theor Appl Genet 107, 479-493.,Song, X.J., Huang, W., Shi, M., Zhu, M.Z., and Lin, H.X. (2007). A QTL for rice grain width and weight encodes a previously unknown RING-type E3 ubiquitin ligase. Nat Genet 39, 623-630.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Morphological trait	Seed	Yield	3	3,6	Yd3-13,qYI-6-2	Yang, J., Zhu, J., and Williams, R.W. (2007). Mapping the genetic architecture of complex traits in experimental populations. Bioinformatics 23, 1527-1536.,Ishimaru, K., Yano, M., Aoki, N., Ono, K., Hirose, T., Lin, S.Y., Monna, L., Sasaki, T., and Ohsugi, R. (2001). Toward the mapping of physiological and agronomic characters on a rice function map: QTL analysis and comparison between QTLs and expressed sequence tags. TAG Theoretical and Applied Genetics 102, 793-800.,Suh, J.P., Ahn, S.N., Cho, Y.C., Kang, K.H., Choi, I.S., Kim, Y.G., Suh, H.S., and Hong, H.C. (2005). Mapping of QTLs for yield traits using an advanced backcross population from a cross between Oryza sativa and O. glaberrima. Korean J. Breed. 37, 214-220	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
Others	Others	spotted leaf	3	12,2	Spl1,spl11,spl12(t)	Liu, G., Wang, L., Zhou, Z., Leung, H., Wang, G.L., and He, C. (2004). Physical mapping of a rice lesion mimic gene, Spl1 , to a 70-kb segment of rice chromosome 12. Mol Genet Genomics 272, 108-115.,Zeng, L., Yin, Z., Chen, J., Leung, H., and Wang, G.L. (2002). Fine genetic mapping and physical delimitation of the lesion mimic gene Spl11 to a 160-kb DNA segment of the rice genome. Mol Genet Genomics 268, 253-261.,Kubo, T., Kuchiishi, T., and Yoshimura, A. (2001). Identification of a new gene for spotted leaf found in Japonica-Indica hybrid population of rice. Rice Genetics Newsletter 18, 55-57.	Tier 4 QTL interval	trait summary for inventory only; not causal ground truth
