trait_id	trait_name	matched_source	matched_keyword	matched_trait_or_category	match_strength	notes
data_lt_2007__la	LA	Oryzabase	leaf angle	Vegetative organ - Culm	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__ligco_rev_veg	LIGCO_REV_VEG	Oryzabase	ligule color	Coloration - Anthocyanin,  Seed - Morphological traits,  Tolerance and resistance - Stress tolerance	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__ligsh	LIGSH	Oryzabase	ligule shape	Vegetative organ - Shoot apical meristem(SAM)	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__lpco_rev_post	LPCO_REV_POST	Oryzabase	lemma and palea color	Coloration - Others	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__lppub	LPPUB	Oryzabase	lemma and palea pubescence	Vegetative organ - Leaf	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__noco_rev	NOCO_REV	Oryzabase	node color	Coloration - Anthocyanin	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__pa_repro	PA_REPRO	Oryzabase	panicle axis	Vegetative organ - Culm	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__plt_code_post	PLT_CODE_POST	Oryzabase	panicle length	Vegetative organ - Culm	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__psh	PSH	Q-TARO	seed shattering	seed shattering	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__pty	PTY	Oryzabase	panicle type	Vegetative organ - Culm	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__scco_rev	SCCO_REV	Oryzabase	seed coat color	Coloration - Anthocyanin	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__sdht_code	SDHT_CODE	Oryzabase	seedling height	Character as QTL - Plant growth activity	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__second_br_repro	SECOND_BR_REPRO	Oryzabase	secondary branch number	Reproductive organ - Spikelet, flower, glume, awn,  Tolerance and resistance - Stress tolerance	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__slco_rev	SLCO_REV	Oryzabase	sterile lemma color	Other,  Reproductive organ - Inflorescence,  Seed - Morphological traits,  Vegetative organ - Leaf,  Coloration - Anthocyanin,  Coloration - Chlorophyll,  Tolerance and resistance - Stress tolerance	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
data_lt_2007__sllt_code	SLLT_CODE	Oryzabase	sterile lemma length	Reproductive organ - Pollination, fertilization, fertility - Sterility,  Reproductive organ - Spikelet, flower, glume, awn	strong_keyword	关键词级弱语义匹配；不能解释为 causal ground truth
