review_id	issue_type	genotype_sample_id	phenotype_sheet	phenotype_row_id	candidate_values	reason	recommended_action	notes
REVIEW_00015	name_match_only	IRIS_313-8963	Data < 2007	15	BATHURI::IRGC 25838-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00016	name_match_only	IRIS_313-9137	Data < 2007	16	ARC 10100::IRGC 20709-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00017	name_match_only	IRIS_313-9283	Data < 2007	17	TAK SUFAID::IRGC 73127-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00018	name_match_only	IRIS_313-9368	Data < 2007	18	CHANDARHAT::IRGC 25845-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00019	name_match_only	IRIS_313-9422	Data < 2007	19	CHUNGUR BALI::IRGC 25855-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00020	name_match_only	IRIS_313-11036	Data < 2007	20	34	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00021	name_match_only	IRIS_313-9610	Data < 2007	20	DANGAR::IRGC 76296-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00022	name_match_only	IRIS_313-9626	Data < 2007	21	KALIA::IRGC 34699-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00023	name_match_only	IRIS_313-9636	Data < 2007	22	PODI HEENATI::IRGC 36345-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00024	name_match_only	IRIS_313-9661	Data < 2007	23	LENJA MURALI::IRGC 66815-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00025	name_match_only	IRIS_313-10020	Data < 2007	24	HODARAWALA::IRGC 67631-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00026	name_match_only	CX154	Data < 2007	25	KHAO DAWK MALI 105::IRGC 27748-2	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00027	name_match_only	IRIS_313-8253	Data < 2007	25	KHAO DAWK MALI 105::IRGC 27748-2	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00028	name_match_only	IRIS_313-9555	Data < 2007	26	CHUA DAU::IRGC 4785-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00029	name_match_only	IRIS_313-8409	Data < 2007	27	SOM NGHE AN::IRGC 60751-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00030	name_match_only	IRIS_313-9400	Data < 2007	28	NCS 964 C::IRGC 62604-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00031	name_match_only	IRIS_313-10516	Data < 2007	29	O. SATIVA::IRGC 17083-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00032	name_match_only	IRIS_313-10628	Data < 2007	29	O. SATIVA::IRGC 17083-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00033	name_match_only	IRIS_313-10752	Data < 2007	29	O. SATIVA::IRGC 17083-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00034	name_match_only	IRIS_313-9839	Data < 2007	29	O. SATIVA::IRGC 17083-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00035	name_match_only	IRIS_313-9882	Data < 2007	29	O. SATIVA::IRGC 17083-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00036	name_match_only	IRIS_313-9969	Data < 2007	30	PUTTU NELLU::IRGC 55346-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00037	name_match_only	IRIS_313-8399	Data < 2007	31	68-2::IRGC 14546-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00038	name_match_only	IRIS_313-8890	Data < 2007	32	WIR 1072::IRGC 57496-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00039	name_match_only	IRIS_313-9346	Data < 2007	33	SHINCHIKU IKU 103::IRGC 10430-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00040	name_match_only	IRIS_313-9814	Data < 2007	34	AMARELO::IRGC 9389-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00041	name_match_only	IRIS_313-8324	Data < 2007	35	POENOET HITAM::IRGC 8193-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00042	name_match_only	IRIS_313-8927	Data < 2007	36	NABESHI	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00043	name_match_only	IRIS_313-9519	Data < 2007	37	WANICA::IRGC 3394-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00044	name_match_only	IRIS_313-10152	Data < 2007	38	KETAN MENAH::IRGC 48733-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00045	name_match_only	IRIS_313-8769	Data < 2007	39	KOSAGI::IRGC 57692-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00046	name_match_only	IRIS_313-8999	Data < 2007	40	ARC 11430 B::IRGC 14567-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00047	name_match_only	IRIS_313-9101	Data < 2007	41	DARAWAL::IRGC 71514-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00048	name_match_only	IRIS_313-9140	Data < 2007	42	81 A 32::IRGC 60162-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00049	name_match_only	IRIS_313-9404	Data < 2007	43	YANGKUM (RED)	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00050	name_match_only	IRIS_313-9648	Data < 2007	44	NEWREX::IRGC 64657-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00051	name_match_only	IRIS_313-8664	Data < 2007	45	SITORU::IRGC 66669-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00052	name_match_only	IRIS_313-8326	Data < 2007	46	JC 1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00053	name_match_only	IRIS_313-9083	Data < 2007	47	PANKHARI 203	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00054	name_match_only	IRIS_313-9601	Data < 2007	48	CHAWAL::IRGC 73090-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00055	name_match_only	IRIS_313-9783	Data < 2007	49	BERENJ 1277 S::IRGC 3461-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00056	name_match_only	IRIS_313-9949	Data < 2007	50	PANNITHI::IRGC 51049-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00057	name_match_only	IRIS_313-8655	Data < 2007	51	TAK::IRGC 73124-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00058	name_match_only	IRIS_313-8771	Data < 2007	52	SIMUL KHURI::IRGC 35154-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00059	name_match_only	IRIS_313-8789	Data < 2007	53	LALSAITA::IRGC 43915-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00060	name_match_only	IRIS_313-8864	Data < 2007	54	NOROI::IRGC 31611-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00061	name_match_only	IRIS_313-9039	Data < 2007	55	MUTTU SAMBA::IRGC 36333-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00062	name_match_only	IRIS_313-9108	Data < 2007	56	RAYADA::IRGC 27594-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00063	name_match_only	CX368	Data < 2007	57	N 22::IRGC 46459-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00064	name_match_only	IRIS_313-10150	Data < 2007	57	N 22::IRGC 46459-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00065	name_match_only	IRIS_313-8383	Data < 2007	58	GENE::IRGC 67434-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00066	name_match_only	IRIS_313-9809	Data < 2007	59	NALUMOOLAI KARUPAN::IRGC 8993-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00067	name_match_only	IRIS_313-10041	Data < 2007	60	BOTOHAVANA MENA::IRGC 69349-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00068	name_match_only	IRIS_313-8244	Data < 2007	61	POKKALI::IRGC 8948-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00069	name_match_only	IRIS_313-8401	Data < 2007	62	ARC 13530::IRGC 41146-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00070	name_match_only	IRIS_313-8405	Data < 2007	63	JIN JUN DAO::IRGC 59710-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00071	name_match_only	IRIS_313-8660	Data < 2007	64	KOTTEYARAN::IRGC 47383-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00072	name_match_only	IRIS_313-8743	Data < 2007	65	NIAO YAO::IRGC 5496-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00073	name_match_only	IRIS_313-9111	Data < 2007	66	XIA ZHI BAI::IRGC 53437-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00074	name_match_only	IRIS_313-9351	Data < 2007	67	PARA NELLU::IRGC 50009-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00075	name_match_only	IRIS_313-10040	Data < 2007	68	MILYANG 77::IRGC 69340-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00076	name_match_only	IRIS_313-10158	Data < 2007	69	PICO NEGRO::IRGC 55849-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00077	name_match_only	IRIS_313-9438	Data < 2007	70	7507-137::IRGC 40081-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00078	name_match_only	IRIS_313-9724	Data < 2007	71	AI DA ZHONG::IRGC 59348-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00079	name_match_only	IRIS_313-9759	Data < 2007	72	OEIRAS::IRGC 286-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00080	name_match_only	IRIS_313-9880	Data < 2007	73	PI 282203::IRGC 16292-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00081	name_match_only	IRIS_313-8578	Data < 2007	74	KHAU TRA BONG::IRGC 78342-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00082	name_match_only	IRIS_313-8594	Data < 2007	75	MINATANDA::IRGC 74613-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00083	name_match_only	IRIS_313-8883	Data < 2007	76	LOMPUG::IRGC 71559-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00084	name_match_only	IRIS_313-9187	Data < 2007	77	WANGKOD::IRGC 71646-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00085	name_match_only	IRIS_313-9267	Data < 2007	78	CHIRGUA 1 I 22::IRGC 3408-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00086	name_match_only	IRIS_313-9363	Data < 2007	79	MAYBELLE::IRGC 78629-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00087	name_match_only	IRIS_313-9392	Data < 2007	80	ARC 11626::IRGC 21528-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00088	name_match_only	IRIS_313-9818	Data < 2007	81	C 1 6-5-2::IRGC 10669-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00089	name_match_only	IRIS_313-9558	Data < 2007	82	LIMBAYAN::IRGC 71556-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00090	name_match_only	IRIS_313-8268	Data < 2007	83	CHHOTE DHAN	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00091	name_match_only	IRIS_313-8498	Data < 2007	84	ARC 7091::IRGC 20491-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00092	name_match_only	IRIS_313-8641	Data < 2007	85	AUS 439::IRGC 29221-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00093	name_match_only	IRIS_313-9449	Data < 2007	86	JAMBALI::IRGC 73101-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00094	same_irgc_different_name	IRIS_313-9705	Data < 2007	86	phenotype_name=JAMBALI::IRGC 73101-1; genotype_name=TAITUNG_WOO_LI::IRGC_111-1	IRGC 一致但名称不一致。	优先保留 IRGC match，但人工检查同义名和来源。	manual_review_required
REVIEW_00095	name_match_only	IRIS_313-9641	Data < 2007	87	BEGUM::IRGC 33990-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00096	same_irgc_different_name	IRIS_313-9706	Data < 2007	87	phenotype_name=BEGUM::IRGC 33990-1; genotype_name=TAIPEI_WOO_CO::IRGC_112-1	IRGC 一致但名称不一致。	优先保留 IRGC match，但人工检查同义名和来源。	manual_review_required
REVIEW_00097	name_match_only	IRIS_313-9695	Data < 2007	88	SOLAY GHAT::IRGC 73121-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00098	name_match_only	IRIS_313-8288	Data < 2007	89	AVO	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00099	same_irgc_different_name	IRIS_313-9758	Data < 2007	89	phenotype_name=AVO; genotype_name=I_KUNG_PAO::IRGC_114-1	IRGC 一致但名称不一致。	优先保留 IRGC match，但人工检查同义名和来源。	manual_review_required
REVIEW_00100	name_match_only	IRIS_313-8292	Data < 2007	90	CARREON	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00101	name_match_only	IRIS_313-8745	Data < 2007	91	SD 120 SELN (CI 12320)::IRGC 1667-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00102	same_irgc_different_name	CX314	Data < 2007	92	phenotype_name=ARANG; genotype_name=117	IRGC 一致但名称不一致。	优先保留 IRGC match，但人工检查同义名和来源。	manual_review_required
REVIEW_00103	name_match_only	CX314	Data < 2007	92	117	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00104	name_match_only	IRIS_313-8791	Data < 2007	92	ARANG	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00105	name_match_only	IRIS_313-8903	Data < 2007	93	BPI 76 NON SENSITIVE (GREEN)::IRGC 9790-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00106	name_match_only	IRIS_313-9606	Data < 2007	94	DA 11::IRGC 6046-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00107	name_match_only	IRIS_313-10030	Data < 2007	95	NS 252::IRGC 68878-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00108	name_match_only	IRIS_313-10102	Data < 2007	96	KELIRENY::IRGC 78426-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00109	name_match_only	IRIS_313-8265	Data < 2007	97	CO 39	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00110	name_match_only	IRIS_313-8568	Data < 2007	98	LARHA MUGAD::IRGC 52339-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00111	name_match_only	IRIS_313-9044	Data < 2007	99	IR 2071-586-5-6-3::IRGC 39291-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
REVIEW_00112	name_match_only	IRIS_313-9314	Data < 2007	100	KAAKARAN::IRGC 27138-1	只有 normalized stock name / before-colon name 匹配，缺少 ID 级证据。	人工核对名称、IRGC、country 和 source accession；通过前不得进入 trait_value_table。	C confidence
