source_id	data_category	dataset_name	species	reference_build	variant_type	expected_format	expected_size	candidate_source_name	download_url_or_access_method	access_method_type	priority	required_for_task	used_for_table	verification_status	download_status	risk_level	risk_notes	exclude_from_v1	notes
SRC_GENE_ANNOTATION_002	gene_annotation	RAP-DB IRGSP-1.0 gene annotation	Oryza sativa Japonica Group	IRGSP-1.0	none	GFF3/TSV	unknown	RAP-DB / Ensembl Plants	to_be_verified	manual	P1	explanation	gene_annotation_table;candidate_gene_ranking_table	needs_manual_review	not_downloaded	medium	RAP-DB archive access and functional annotation columns need review	no	Rice trait literature often uses RAP/MSU identifiers; later phases need crosswalk
SRC_GENE_ANNOTATION_003	gene_annotation	Ensembl Plants Oryza sativa IRGSP-1.0 annotation	Oryza sativa	IRGSP-1.0	none	GFF3/FASTA/TSV	unknown	Ensembl Plants	https://plants.ensembl.org/Oryza_sativa/Info/Index	https	P1	explanation	gene_annotation_table	partially_verified	not_downloaded	medium	Release version must be pinned; gene identifiers may differ from RAP/NCBI	no	用于补充 gene coordinate、gene_id 和 annotation metadata；下载前需要固定 release
SRC_TRAIT_TABLE_001	trait_table	SNP-Seek / IRGCIS 3K passport and phenotype data	Oryza sativa	not_applicable	none	HTML/database/XLSX	unknown	SNP-Seek mirrors	https://snp-seek.irri.org/	database	P0	Task1+Task2	trait_table;trait_value_table;trait_state_table	partially_verified	not_downloaded	high	Original SNP-Seek service is temporarily offline; mirror export and accession overlap must be checked	no	只能用于构建 trait_state，不能作为 phenotype prediction target
SRC_TRAIT_TABLE_002	trait_table	MBKbase Rice3K phenotype records	Oryza sativa	not_applicable	none	HTML/database	unknown	MBKbase phenotype	https://www.mbkbase.org/rice/phenotype	database	P1	Task1+Task2	trait_table;trait_value_table	partially_verified	not_downloaded	medium	Sample overlap, accession ID mapping and data provenance need manual audit	no	页面显示 Rice3K WGS samples and phenotype sources，可作为 trait coverage/overlap 审核候选
SRC_TRAIT_TABLE_003	trait_table	3kRG phenotype spreadsheet	Oryza sativa	not_applicable	none	XLSX	unknown	IRRI / 3KRG phenotype spreadsheet metadata	https://s3-ap-southeast-1.amazonaws.com/oryzasnp-atcg-irri-org/3kRG-phenotypes/3kRG_PhenotypeData_v20170411.xlsx	https	P0	Task1+Task2	trait_table;trait_value_table;trait_state_table	needs_manual_review	not_downloaded	high	Direct data file was not downloaded in Phase 1; source version, access policy and checksum must be verified later	no	候选 3KRG phenotype spreadsheet；下载前必须人工审阅并登记 checksum
SRC_WEAK_KNOWN_GENES_001	weak_evidence	Rice known trait genes / cloned genes	Oryza sativa	mixed	none	HTML/database/TSV	unknown	OGRO / Oryzabase / Q-TARO	to_be_verified	database	P0	evaluation	weak_evidence_table;candidate_gene_ranking_table	needs_manual_review	not_downloaded	medium	Database availability, gene identifier system and coordinate build need validation	no	known trait genes 只能作为 weak localization evidence，不能作为 causal ground truth
SRC_WEAK_QTL_001	weak_evidence	Q-TARO representative rice QTLs	Oryza sativa	mixed	none	HTML/database	unknown	Q-TARO / LSDB Archive	https://dbarchive.biosciencedbc.jp/en/qtaro/desc.html	https	P0	evaluation	weak_evidence_table;target_signal_table;window_table	partially_verified	not_downloaded	medium	Original Q-TARO site may be old; coordinate build may require liftover or remapping	no	QTL intervals 只能产生 weak window-level evidence
SRC_WEAK_GWAS_001	weak_evidence	Literature-curated 3K Rice GWAS lead SNPs	Oryza sativa	Nipponbare / IRGSP-1.0	SNP	TSV/CSV/PDF supplementary	unknown	Literature supplementary / RiceVarMap / SNP-Seek	to_be_verified	paper_supplement	P0	evaluation	weak_evidence_table;target_signal_table	needs_manual_review	not_downloaded	high	Publication-specific phenotype panels, LD choices and trait overlap may cause evidence leakage	no	必须逐 trait 记录 publication、trait、lead SNP、P-value、coordinate build 和 panel
SRC_WEAK_RICEVARMAP_001	weak_evidence	RiceVarMap v2.0 GWAS and variation annotation	Oryza sativa	mixed	SNP+indel	HTML/database	unknown	RiceVarMap v2.0	https://riceqtl.ncpgr.cn/	database	P1	evaluation	weak_evidence_table;candidate_gene_ranking_table	partially_verified	not_downloaded	medium	Not 3K-only; accession/source compatibility must be reviewed before use	no	可作为 supplementary weak evidence candidate；不能替代 3K Rice primary sources
SRC_WEAK_LD_001	weak_evidence	LD blocks / credible intervals from 3K trait studies	Oryza sativa	Nipponbare / IRGSP-1.0	mixed	TSV/CSV/PDF supplementary	unknown	Literature supplementary	to_be_verified	paper_supplement	P1	evaluation	weak_evidence_table;window_table	needs_manual_review	not_downloaded	high	Study-specific LD windows are susceptible to evidence leakage if derived from benchmark test traits	no	只在记录清楚 trait、panel、method、coordinate build 后作为 weak localization evidence
SRC_WEAK_PATHWAY_001	weak_evidence	Gramene / Oryzabase trait-gene and pathway annotations	Oryza sativa	mixed	none	HTML/database	unknown	Gramene / Oryzabase	https://www.gramene.org/	database	P2	explanation	candidate_gene_ranking_table;weak_evidence_table	needs_manual_review	not_downloaded	medium	Cross-database gene ID mapping and pan-genome content must be filtered	no	annotation-level evidence 只能用于 explanation 和 candidate_gene_ranking_table
SRC_EXCLUDED_PAV_SV_001	weak_evidence	3K rice SV/PAV/pan-genome resources	Oryza sativa	mixed	SV/PAV/CNV	mixed	unknown	RPAN / 3K pan-genome resources	https://cgm.sjtu.edu.cn/3kricedb/about.php	database	P2	manifest_only	manifest_only	excluded_for_v1	not_downloaded	high	Contains PAV/pan-genome content outside v1 scope	yes	excluded_for_v1；不能纳入第一版主 benchmark，只记录为边界提醒
